ZHANG Hongchao POSITION,ZHANG Hongchao LAP TIME,ZHANG Hongchao ELAPSED TIME,HONG Kyung Hwan POSITION,HONG Kyung Hwan LAP TIME,HONG Kyung Hwan ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME
2,12.50,12.50,1,12.45,12.45,3,12.58,12.58,5,12.87,12.87,4,12.75,12.75
3,9.60,22.10,1,9.42,21.87,2,9.42,22.00,5,9.50,22.37,4,9.50,22.25
3,9.61,31.71,2,9.71,31.58,1,9.53,31.53,5,9.58,31.95,4,9.58,31.83
3,9.43,41.14,2,9.51,41.09,1,9.54,41.07,5,9.43,41.38,4,9.49,41.32
2,9.05,50.19,1,9.08,50.17,3,9.18,50.25,5,9.05,50.43,4,9.05,50.37
2,8.99,59.18,1,8.92,59.09,4,9.21,59.46,5,9.09,59.52,3,8.99,59.36
2,9.05,1:08.23,1,9.03,1:08.12,5,9.33,1:08.79,4,9.03,1:08.55,3,9.02,1:08.38
2,9.34,1:17.57,1,9.32,1:17.44,5,9.31,1:18.10,3,9.14,1:17.69,4,9.32,1:17.70
0,,PHOTO,1,9.68,1:27.12,4,9.38,1:27.458,5,11.00,1:28.671,0,,PHOTO
