Ryan BEDFORD POSITION,Ryan BEDFORD LAP TIME,Ryan BEDFORD ELAPSED TIME,Aslan DAUMOV POSITION,Aslan DAUMOV LAP TIME,Aslan DAUMOV ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME
4,9.280,9.280,5,9.320,9.320,6,9.490,9.490,3,9.080,9.080,1,8.880,8.880,2,8.960,8.960
4,11.990,21.280,5,11.960,21.280,6,11.870,21.360,3,12.040,21.130,1,11.810,20.700,2,12.090,21.050
4,12.060,33.350,5,12.100,33.380,6,12.140,33.510,3,12.200,33.340,1,12.170,32.870,2,12.090,33.140
5,11.650,45.000,1,10.990,44.380,6,11.590,45.100,4,11.620,44.960,3,11.620,44.500,2,11.340,44.480
4,10.860,55.870,5,11.560,55.940,6,10.910,56.010,3,10.690,55.650,2,11.110,55.610,1,11.080,55.570
5,11.200,1:07.070,4,10.750,1:06.690,6,11.160,1:07.180,1,10.670,1:06.330,3,11.020,1:06.630,2,11.010,1:06.580
5,10.250,1:17.320,3,10.260,1:16.960,6,10.300,1:17.490,4,10.740,1:17.080,1,10.100,1:16.730,2,10.230,1:16.810
5,10.340,1:27.670,4,10.590,1:27.550,6,10.290,1:27.780,3,10.340,1:27.420,1,10.440,1:27.180,2,10.360,1:27.180
5,10.310,1:37.990,3,10.270,1:37.830,6,10.330,1:38.120,4,10.450,1:37.870,2,10.300,1:37.490,1,10.300,1:37.480
3,9.440,1:47.430,6,10.160,1:47.990,5,9.830,1:47.950,1,9.390,1:47.270,4,10.090,1:47.580,2,9.870,1:47.360
3,9.380,1:56.820,6,10.000,1:58.000,2,8.770,1:56.720,4,9.670,1:56.940,5,9.840,1:57.430,1,9.330,1:56.700
6,30.950,2:27.770,5,10.300,2:08.300,1,9.040,2:05.770,2,9.070,2:06.020,4,9.950,2:07.390,3,9.550,2:06.250
6,16.290,2:44.060,5,10.920,2:19.220,1,9.280,2:15.050,2,9.500,2:15.530,4,10.470,2:17.860,3,9.380,2:15.630
6,13.290,2:57.350,5,10.740,2:29.970,1,9.900,2:24.950,3,10.290,2:25.830,4,10.870,2:28.740,2,10.110,2:25.750
