Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME
1,12.32,12.32,2,12.42,12.42,3,12.59,12.59,4,12.86,12.86
1,9.65,21.97,2,9.63,22.05,3,9.54,22.13,4,9.44,22.30
1,9.66,31.63,2,9.68,31.73,3,9.68,31.81,4,9.69,31.99
1,9.45,41.08,2,9.44,41.17,3,9.46,41.27,4,9.49,41.48
1,9.36,50.44,2,9.28,50.45,3,9.33,50.60,4,9.37,50.85
3,9.87,1:00.31,4,9.99,1:00.44,1,9.29,59.89,2,9.16,1:00.01
3,9.43,1:09.74,4,9.53,1:09.97,1,9.36,1:09.25,2,9.34,1:09.35
3,9.48,1:19.22,4,9.83,1:19.80,1,9.45,1:18.70,2,9.46,1:18.81
3,9.64,1:28.853,0,,PEN,1,9.56,1:28.258,2,9.53,1:28.340
