Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME
1,7.14,7.14,4,7.43,7.43,2,7.33,7.33,3,7.36,7.36
1,9.49,16.63,4,9.42,16.85,2,9.39,16.72,3,9.46,16.82
1,8.88,25.51,3,8.83,25.68,2,8.91,25.63,4,9.03,25.85
1,9.03,34.54,2,8.88,34.56,3,9.01,34.64,4,8.95,34.80
2,9.10,43.630,1,8.89,43.433,3,9.07,43.709,4,9.54,44.325
