GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,KIKUCHI Kota POSITION,KIKUCHI Kota LAP TIME,KIKUCHI Kota ELAPSED TIME,Shaner LEBAUER POSITION,Shaner LEBAUER LAP TIME,Shaner LEBAUER ELAPSED TIME,PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME,SU Jun-Peng POSITION,SU Jun-Peng LAP TIME,SU Jun-Peng ELAPSED TIME
1,14.97,14.97,3,15.11,15.11,4,15.13,15.13,2,15.05,15.05,5,15.31,15.31
4,11.25,26.22,1,10.86,25.97,3,11.06,26.19,2,11.02,26.07,5,11.13,26.44
4,10.48,36.70,1,10.48,36.45,3,10.43,36.62,2,10.47,36.54,5,10.44,36.88
4,9.82,46.52,1,9.78,46.23,3,9.80,46.42,2,9.78,46.32,5,9.75,46.63
5,9.77,56.29,1,9.54,55.77,3,9.65,56.07,2,9.57,55.89,4,9.60,56.23
5,9.51,1:05.80,1,9.46,1:05.23,3,9.47,1:05.54,2,9.45,1:05.34,4,9.43,1:05.66
5,9.50,1:15.30,1,9.45,1:14.68,3,9.45,1:14.99,2,9.44,1:14.78,4,9.50,1:15.16
5,10.00,1:25.30,1,9.49,1:24.17,3,9.65,1:24.64,2,9.54,1:24.32,4,9.68,1:24.84
5,11.11,1:36.300,1,9.53,1:33.699,3,9.97,1:34.606,2,9.53,1:33.849,4,9.93,1:34.769
