Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME
5,11.29,11.29,4,11.12,11.12,6,11.48,11.48,2,10.75,10.75,3,10.96,10.96,1,10.50,10.50,7,11.62,11.62
5,11.97,23.26,4,12.02,23.14,6,11.92,23.40,2,12.18,22.93,3,12.01,22.97,1,12.29,22.79,7,11.92,23.54
5,11.30,34.56,4,11.26,34.40,6,11.29,34.69,2,11.19,34.12,3,11.26,34.23,1,11.21,34.00,7,11.29,34.83
5,10.95,45.51,4,11.01,45.41,6,10.96,45.65,2,11.07,45.19,3,11.05,45.28,1,11.09,45.09,7,10.91,45.74
5,10.87,56.38,3,10.77,56.18,6,10.88,56.53,2,10.94,56.13,4,10.94,56.22,1,10.94,56.03,7,10.92,56.66
5,10.32,1:06.70,1,10.21,1:06.39,6,10.31,1:06.84,3,10.42,1:06.55,4,10.34,1:06.56,2,10.43,1:06.46,7,10.26,1:06.92
3,10.34,1:17.04,2,10.64,1:17.03,6,10.45,1:17.29,5,10.65,1:17.20,1,10.40,1:16.96,4,10.64,1:17.10,7,10.49,1:17.41
1,10.19,1:27.23,3,10.37,1:27.40,6,10.35,1:27.64,5,10.43,1:27.63,2,10.35,1:27.31,4,10.43,1:27.53,7,10.37,1:27.78
3,10.48,1:37.71,1,10.23,1:37.63,5,10.32,1:37.96,7,10.51,1:38.14,4,10.49,1:37.80,2,10.17,1:37.70,6,10.29,1:38.07
3,10.09,1:47.80,2,10.09,1:47.72,5,10.13,1:48.09,7,10.22,1:48.36,4,10.12,1:47.92,1,9.77,1:47.47,6,10.14,1:48.21
3,9.72,1:57.52,2,9.68,1:57.40,5,9.70,1:57.79,7,9.91,1:58.27,4,9.74,1:57.66,1,9.79,1:57.26,6,9.69,1:57.90
3,9.71,2:07.23,2,9.79,2:07.19,4,9.57,2:07.36,7,10.05,2:08.32,5,9.75,2:07.41,1,9.90,2:07.16,6,9.61,2:07.51
1,9.59,2:16.82,4,10.04,2:17.23,3,9.79,2:17.15,7,10.51,2:18.83,6,10.06,2:17.47,2,9.94,2:17.10,5,9.74,2:17.25
0,,PHOTO,4,10.05,2:27.28,0,,PHOTO,7,11.05,2:29.88,6,10.78,2:28.25,5,10.31,2:27.41,3,9.68,2:26.93
