Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Arian NACHBAR POSITION,Arian NACHBAR LAP TIME,Arian NACHBAR ELAPSED TIME
1,16.715,16.715,3,16.987,16.987,2,16.985,16.985,4,17.420,17.420
1,12.858,29.573,3,12.861,29.847,2,12.814,29.799,4,12.678,30.098
1,12.144,41.716,3,12.130,41.977,2,12.066,41.864,4,12.254,42.351
2,11.316,53.032,3,11.262,53.238,1,11.163,53.027,4,10.955,53.306
3,9.546,1:02.578,4,9.390,1:02.628,2,9.377,1:02.403,1,8.925,1:02.230
3,9.089,1:11.666,4,9.130,1:11.758,1,8.752,1:11.155,2,9.147,1:11.376
4,9.054,1:20.720,3,8.954,1:20.712,1,8.842,1:19.997,2,8.953,1:20.329
3,9.437,1:30.156,4,9.448,1:30.159,1,8.995,1:28.991,2,8.912,1:29.240
3,10.35,1:40.500,4,26.82,1:56.975,1,9.46,1:38.445,2,9.55,1:38.787
