Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,GOEMINNE Gert-Jan POSITION,GOEMINNE Gert-Jan LAP TIME,GOEMINNE Gert-Jan ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME
3,11.46,11.46,2,11.26,11.26,1,11.10,11.10,4,11.68,11.68,5,11.83,11.83
3,16.41,27.87,2,16.47,27.73,1,16.42,27.52,4,16.37,28.05,5,16.38,28.21
3,14.87,42.74,2,14.89,42.62,1,14.94,42.46,4,14.81,42.86,5,14.79,43.00
3,14.38,57.12,2,14.40,57.02,1,14.40,56.86,5,14.41,57.27,4,14.17,57.17
4,12.09,1:09.21,3,12.06,1:09.08,2,12.10,1:08.96,5,12.08,1:09.35,1,11.67,1:08.84
4,11.28,1:20.49,1,11.09,1:20.17,3,11.43,1:20.39,5,11.26,1:20.61,2,11.44,1:20.28
5,11.02,1:31.51,1,10.95,1:31.12,4,11.06,1:31.45,3,10.70,1:31.31,2,10.94,1:31.22
4,10.71,1:42.22,1,10.77,1:41.89,5,10.87,1:42.32,2,10.66,1:41.97,3,10.84,1:42.06
4,9.75,1:51.97,2,9.81,1:51.70,5,9.80,1:52.12,1,9.72,1:51.69,3,9.81,1:51.87
4,9.13,2:01.10,2,9.19,2:00.89,5,9.11,2:01.23,1,9.12,2:00.81,3,9.11,2:00.98
4,9.01,2:10.11,2,9.04,2:09.93,5,9.01,2:10.24,1,9.02,2:09.83,3,9.04,2:10.02
4,8.87,2:18.98,2,8.84,2:18.77,5,8.86,2:19.10,1,8.82,2:18.65,3,8.83,2:18.85
4,8.66,2:27.64,2,8.64,2:27.41,5,8.86,2:27.96,1,8.67,2:27.32,3,8.63,2:27.48
4,8.85,2:36.483,2,8.70,2:36.110,5,9.22,2:37.175,1,8.64,2:35.959,3,8.76,2:36.239
