KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,CHEN Guang POSITION,CHEN Guang LAP TIME,CHEN Guang ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME
3,13.15,13.15,1,12.91,12.91,4,13.27,13.27,2,13.04,13.04
3,10.14,23.29,1,10.20,23.11,4,10.15,23.42,2,10.14,23.18
4,9.51,32.80,1,9.57,32.68,3,9.35,32.77,2,9.56,32.74
2,8.97,41.77,3,9.18,41.86,4,9.27,42.04,1,8.94,41.68
3,9.27,51.04,2,9.11,50.97,4,9.13,51.17,1,9.19,50.87
2,8.89,59.93,3,9.11,1:00.08,4,9.05,1:00.22,1,8.97,59.84
2,9.23,1:09.16,4,9.27,1:09.35,3,9.05,1:09.27,1,9.23,1:09.07
2,9.26,1:18.42,4,9.68,1:19.03,3,9.24,1:18.51,1,9.27,1:18.34
2,9.45,1:27.870,4,10.19,1:29.214,3,9.55,1:28.060,1,9.45,1:27.781
