Casey MULLARKEY POSITION,Casey MULLARKEY LAP TIME,Casey MULLARKEY ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,Aydin DJEMAL POSITION,Aydin DJEMAL LAP TIME,Aydin DJEMAL ELAPSED TIME,VANHOOREN Rino POSITION,VANHOOREN Rino LAP TIME,VANHOOREN Rino ELAPSED TIME,Daniel ZASTRUGOV POSITION,Daniel ZASTRUGOV LAP TIME,Daniel ZASTRUGOV ELAPSED TIME
3,9.59,9.59,1,9.33,9.33,2,9.45,9.45,5,9.83,9.83,4,9.71,9.71,6,9.97,9.97
2,13.03,22.62,1,13.24,22.57,3,13.24,22.69,5,13.16,22.99,4,13.08,22.79,6,13.14,23.11
1,10.60,33.22,2,10.73,33.30,3,10.71,33.40,5,10.58,33.57,4,10.68,33.47,6,10.61,33.72
1,10.00,43.22,2,9.93,43.23,4,9.96,43.36,3,9.72,43.29,5,10.04,43.51,6,9.97,43.69
3,9.29,52.51,2,9.20,52.43,1,8.97,52.33,4,9.26,52.55,5,9.18,52.69,6,9.20,52.89
1,9.49,1:02.00,3,9.67,1:02.10,2,9.71,1:02.04,4,9.66,1:02.21,5,9.61,1:02.30,6,9.52,1:02.41
1,9.44,1:11.44,3,9.48,1:11.58,2,9.47,1:11.51,4,9.48,1:11.69,5,9.51,1:11.81,6,9.56,1:11.97
1,9.71,1:21.15,3,9.71,1:21.29,2,9.71,1:21.22,4,9.63,1:21.32,5,9.67,1:21.48,6,9.68,1:21.65
2,9.64,1:30.79,3,9.65,1:30.94,1,9.56,1:30.78,4,9.85,1:31.17,5,9.79,1:31.27,6,9.75,1:31.40
3,9.59,1:40.38,2,9.38,1:40.32,1,9.47,1:40.25,5,9.92,1:41.09,4,9.60,1:40.87,6,9.81,1:41.21
3,9.63,1:50.01,2,9.59,1:49.91,1,9.57,1:49.82,5,9.99,1:51.08,4,9.61,1:50.48,6,10.06,1:51.27
3,9.46,1:59.47,1,9.40,1:59.31,2,9.54,1:59.36,5,10.40,2:01.48,4,9.98,2:00.46,6,10.53,2:01.80
2,9.42,2:08.89,1,9.36,2:08.67,3,9.61,2:08.97,5,10.87,2:12.35,4,10.44,2:10.90,6,11.23,2:13.03
0,,PHOTO,1,9.41,2:18.08,0,,PHOTO,5,11.01,2:23.339,4,10.72,2:21.604,6,11.80,2:24.817
