Myrtille GOLLIN POSITION,Myrtille GOLLIN LAP TIME,Myrtille GOLLIN ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,WANG Wei POSITION,WANG Wei LAP TIME,WANG Wei ELAPSED TIME,Satomi SAKAI POSITION,Satomi SAKAI LAP TIME,Satomi SAKAI ELAPSED TIME,Kristen BIONDO POSITION,Kristen BIONDO LAP TIME,Kristen BIONDO ELAPSED TIME,Anja KOLAR POSITION,Anja KOLAR LAP TIME,Anja KOLAR ELAPSED TIME
2,9.293,9.293,5,9.646,9.646,3,9.375,9.375,4,9.584,9.584,1,8.845,8.845,6,9.747,9.747
3,13.668,22.961,4,13.632,23.277,2,13.412,22.786,6,13.955,23.538,1,13.644,22.489,5,13.620,23.366
3,13.146,36.107,5,13.109,36.386,2,13.219,36.004,4,12.757,36.294,1,13.343,35.832,6,13.939,37.304
3,13.055,49.161,4,12.902,49.287,2,12.994,48.998,6,13.306,49.600,1,13.080,48.911,5,12.099,49.403
2,12.933,1:02.093,5,13.022,1:02.309,3,13.122,1:02.119,4,12.660,1:02.259,1,12.783,1:01.694,6,13.002,1:02.404
3,12.817,1:14.910,5,12.843,1:15.152,2,12.648,1:14.767,4,12.817,1:15.075,1,12.802,1:14.496,6,12.925,1:15.329
1,10.770,1:25.679,4,11.073,1:26.224,2,11.120,1:25.886,6,11.301,1:26.376,3,11.514,1:26.010,5,11.047,1:26.376
1,11.113,1:36.791,3,10.966,1:37.190,2,11.028,1:36.914,5,10.885,1:37.260,4,11.217,1:37.227,6,10.937,1:37.313
3,10.992,1:47.782,5,10.690,1:47.880,2,10.815,1:47.728,4,10.541,1:47.801,1,10.343,1:47.569,6,10.739,1:48.052
1,10.183,1:57.965,5,10.478,1:58.358,4,10.485,1:58.213,3,10.409,1:58.210,2,10.463,1:58.031,6,10.632,1:58.683
1,10.488,2:08.452,4,10.546,2:08.903,3,10.556,2:08.769,5,10.816,2:09.026,2,10.456,2:08.487,6,10.976,2:09.659
1,10.564,2:19.015,4,10.675,2:19.578,3,10.456,2:19.224,5,10.604,2:19.629,2,10.703,2:19.189,6,11.182,2:20.840
2,10.426,2:29.441,4,10.498,2:30.075,1,10.064,2:29.288,5,10.496,2:30.125,3,10.710,2:29.899,6,11.372,2:32.211
2,10.81,2:40.242,5,10.79,2:40.862,1,10.73,2:40.013,4,10.60,2:40.716,3,10.81,2:40.704,6,11.92,2:44.125
