Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME,Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME,David GROSSENBACHER POSITION,David GROSSENBACHER LAP TIME,David GROSSENBACHER ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME
2,7.084,7.084,1,6.796,6.796,4,7.211,7.211,3,7.191,7.191
2,9.351,16.435,1,9.418,16.213,4,10.085,17.296,3,9.336,16.527
2,9.025,25.460,1,9.013,25.226,4,13.314,30.610,3,8.943,25.469
3,9.290,34.749,1,9.132,34.357,4,13.950,44.559,2,8.932,34.401
3,9.17,43.917,2,9.27,43.622,4,6.64,51.195,1,9.16,43.552
