Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Erika HUSZAR POSITION,Erika HUSZAR LAP TIME,Erika HUSZAR ELAPSED TIME,Christin PRIEBST POSITION,Christin PRIEBST LAP TIME,Christin PRIEBST ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Valeriya REZNIK POSITION,Valeriya REZNIK LAP TIME,Valeriya REZNIK ELAPSED TIME
2,8.94,8.94,1,8.81,8.81,4,9.14,9.14,3,9.07,9.07,5,9.25,9.25,6,9.30,9.30
2,13.90,22.84,1,13.86,22.67,4,14.08,23.22,3,13.99,23.06,5,14.03,23.28,6,14.02,23.32
2,12.67,35.51,1,12.69,35.36,5,12.49,35.71,3,12.55,35.61,6,12.52,35.80,4,12.36,35.68
2,12.75,48.26,1,12.76,48.12,3,12.63,48.34,4,12.84,48.45,6,12.93,48.73,5,12.93,48.61
2,12.06,1:00.32,1,12.09,1:00.21,3,12.09,1:00.43,4,12.09,1:00.54,6,12.01,1:00.74,5,12.01,1:00.62
3,12.23,1:12.55,1,12.15,1:12.36,2,12.02,1:12.45,4,12.14,1:12.68,6,12.14,1:12.88,5,12.16,1:12.78
3,11.90,1:24.45,1,11.91,1:24.27,2,11.91,1:24.36,4,11.88,1:24.56,5,11.68,1:24.56,6,11.86,1:24.64
4,11.47,1:35.92,1,11.43,1:35.70,2,11.45,1:35.81,3,11.32,1:35.88,5,11.44,1:36.00,6,11.38,1:36.02
5,15.07,1:50.99,2,10.02,1:45.72,3,10.20,1:46.01,1,9.77,1:45.65,4,10.10,1:46.10,6,17.84,1:53.86
5,16.18,2:07.17,2,10.29,1:56.01,3,10.09,1:56.10,1,10.26,1:55.91,4,10.17,1:56.27,6,17.78,2:11.64
5,13.34,2:20.51,2,10.54,2:06.55,3,10.56,2:06.66,1,10.57,2:06.48,4,10.55,2:06.82,6,13.42,2:25.06
5,13.48,2:33.99,2,10.47,2:17.02,3,10.49,2:17.15,1,10.46,2:16.94,4,10.46,2:17.28,6,14.05,2:39.11
5,12.98,2:46.97,2,10.18,2:27.20,3,10.18,2:27.33,1,10.17,2:27.11,4,10.18,2:27.46,6,13.05,2:52.16
5,12.39,2:59.358,2,9.68,2:36.874,3,9.74,2:37.061,1,9.71,2:36.814,4,9.81,2:37.264,0,,PEN
