CHARLES Alyson POSITION,CHARLES Alyson LAP TIME,CHARLES Alyson ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,LI Xuan POSITION,LI Xuan LAP TIME,LI Xuan ELAPSED TIME,KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME
2,13.71,13.71,3,13.81,13.81,1,13.48,13.48,4,13.91,13.91
2,10.44,24.15,4,10.43,24.24,1,10.55,24.03,3,10.29,24.20
3,9.76,33.91,4,9.77,34.01,2,9.78,33.81,1,9.48,33.68
3,9.56,43.47,4,9.57,43.58,2,9.61,43.42,1,9.64,43.32
4,9.33,52.80,2,9.13,52.71,3,9.37,52.79,1,9.25,52.57
3,9.36,1:02.16,2,9.29,1:02.00,4,9.54,1:02.33,1,9.33,1:01.90
3,9.36,1:11.52,2,9.42,1:11.42,4,9.35,1:11.68,1,9.42,1:11.32
3,9.46,1:20.98,2,9.45,1:20.87,4,9.52,1:21.20,1,9.47,1:20.79
3,9.57,1:30.55,2,9.57,1:30.44,4,9.73,1:30.93,1,9.58,1:30.37
