KAZAKHSTAN POSITION,KAZAKHSTAN LAP TIME,KAZAKHSTAN ELAPSED TIME,HUNGARY POSITION,HUNGARY LAP TIME,HUNGARY ELAPSED TIME,BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME,GERMANY POSITION,GERMANY LAP TIME,GERMANY ELAPSED TIME
2,12.34,12.34,3,12.50,12.50,4,12.74,12.74,1,12.02,12.02
2,8.92,21.26,3,9.02,21.52,4,9.02,21.76,1,8.81,20.83
2,8.71,29.97,3,8.61,30.13,4,8.75,30.51,1,8.64,29.47
2,8.64,38.61,3,8.67,38.80,4,8.90,39.41,1,8.40,37.87
2,8.67,47.28,3,8.91,47.71,4,9.41,48.82,1,9.13,47.00
2,8.71,55.99,3,8.77,56.48,4,8.92,57.74,1,8.79,55.79
2,8.67,1:04.66,3,8.69,1:05.17,4,8.70,1:06.44,1,8.71,1:04.50
2,8.71,1:13.37,3,8.54,1:13.71,4,9.39,1:15.83,1,8.67,1:13.17
2,8.63,1:22.00,3,8.41,1:22.12,4,8.93,1:24.76,1,8.72,1:21.89
2,8.77,1:30.77,3,8.77,1:30.89,4,9.27,1:34.03,1,8.51,1:30.40
2,8.84,1:39.61,3,8.89,1:39.78,4,9.37,1:43.40,1,9.07,1:39.47
2,8.86,1:48.47,3,8.83,1:48.61,4,9.17,1:52.57,1,8.92,1:48.39
2,8.87,1:57.34,3,8.87,1:57.48,4,8.63,2:01.20,1,8.83,1:57.22
2,8.76,2:06.10,3,8.74,2:06.22,4,9.57,2:10.77,1,8.77,2:05.99
2,8.74,2:14.84,3,8.78,2:15.00,4,9.04,2:19.81,1,8.77,2:14.76
2,8.93,2:23.77,3,8.94,2:23.94,4,9.49,2:29.30,1,8.91,2:23.67
2,8.86,2:32.63,3,8.83,2:32.77,4,9.45,2:38.75,1,8.87,2:32.54
2,8.97,2:41.60,3,8.92,2:41.69,4,9.31,2:48.06,1,8.99,2:41.53
2,8.95,2:50.55,3,9.00,2:50.69,4,8.74,2:56.80,1,8.89,2:50.42
2,8.85,2:59.40,3,8.83,2:59.52,4,9.48,3:06.28,1,8.86,2:59.28
2,8.75,3:08.15,3,8.72,3:08.24,4,9.06,3:15.34,1,8.79,3:08.07
2,8.85,3:17.00,3,8.89,3:17.13,4,9.68,3:25.02,1,8.82,3:16.89
2,8.96,3:25.96,3,8.92,3:26.05,4,9.78,3:34.80,1,8.97,3:25.86
2,9.08,3:35.04,3,9.06,3:35.11,4,9.68,3:44.48,1,9.08,3:34.94
2,8.95,3:43.99,3,8.97,3:44.08,4,8.99,3:53.47,1,8.97,3:43.91
1,9.08,3:53.07,2,9.09,3:53.17,4,9.92,4:03.39,3,15.10,3:59.01
1,8.95,4:02.02,2,8.89,4:02.06,4,9.17,4:12.56,3,9.45,4:08.46
1,8.96,4:10.98,2,9.36,4:11.42,4,9.65,4:22.21,3,8.88,4:17.34
2,10.01,4:20.99,1,9.54,4:20.96,4,9.60,4:31.81,3,9.47,4:26.81
2,9.07,4:30.06,1,8.99,4:29.95,4,9.55,4:41.36,3,9.47,4:36.28
2,9.24,4:39.30,1,8.90,4:38.85,4,9.38,4:50.74,3,9.20,4:45.48
2,9.10,4:48.40,1,9.42,4:48.27,4,9.49,5:00.23,3,9.32,4:54.80
2,8.99,4:57.39,1,8.98,4:57.25,4,9.48,5:09.71,3,9.01,5:03.81
2,9.02,5:06.41,1,9.04,5:06.29,4,9.57,5:19.28,3,8.99,5:12.80
2,9.09,5:15.50,1,9.11,5:15.40,4,9.80,5:29.08,3,9.40,5:22.20
2,8.66,5:24.16,1,8.67,5:24.07,4,9.49,5:38.57,3,9.36,5:31.56
2,8.91,5:33.07,1,8.84,5:32.91,4,9.39,5:47.96,3,9.45,5:41.01
2,8.74,5:41.81,1,8.76,5:41.67,4,9.38,5:57.34,3,9.00,5:50.01
2,8.75,5:50.56,1,8.83,5:50.50,4,9.41,6:06.75,3,9.13,5:59.14
1,8.80,5:59.36,2,9.02,5:59.52,4,9.94,6:16.69,3,9.49,6:08.63
1,8.97,6:08.33,2,8.91,6:08.43,4,10.06,6:26.75,3,9.54,6:18.17
1,8.74,6:17.07,2,8.74,6:17.17,4,9.61,6:36.36,3,9.54,6:27.71
2,8.89,6:25.96,1,8.63,6:25.80,4,9.66,6:46.02,3,9.49,6:37.20
2,8.65,6:34.61,1,8.69,6:34.49,4,9.55,6:55.57,3,9.05,6:46.25
2,8.75,6:43.341,1,8.63,6:43.105,4,9.73,7:05.280,3,9.55,6:55.773
