Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME
3,13.29,13.29,4,13.35,13.35,2,13.15,13.15,1,13.09,13.09
3,10.13,23.42,4,10.18,23.53,1,9.73,22.89,2,10.15,23.24
2,9.57,33.00,4,10.97,34.51,1,9.85,32.74,3,9.94,33.19
2,9.34,42.35,4,8.16,42.68,3,9.61,42.35,1,9.08,42.27
3,9.24,51.59,4,9.03,51.71,2,9.21,51.57,1,8.95,51.23
3,9.17,1:00.76,2,8.89,1:00.60,4,9.21,1:00.78,1,9.33,1:00.56
4,9.19,1:09.96,1,8.86,1:09.46,3,9.03,1:09.82,2,9.22,1:09.78
3,9.32,1:19.29,1,9.10,1:18.57,4,9.53,1:19.35,2,9.46,1:19.25
0,,DQ,1,9.96,1:28.524,2,9.74,1:29.087,3,11.09,1:30.331
