SIGHEL Pietro POSITION,SIGHEL Pietro LAP TIME,SIGHEL Pietro ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Jonathan SO POSITION,Jonathan SO LAP TIME,Jonathan SO ELAPSED TIME
1,6.84,6.84,2,7.01,7.01,3,7.16,7.16,4,7.26,7.26
1,8.93,15.77,2,8.85,15.86,3,8.82,15.98,4,8.87,16.13
2,8.54,24.31,1,8.31,24.17,3,8.44,24.42,4,8.38,24.51
2,8.47,32.78,1,8.51,32.68,3,8.49,32.91,4,8.54,33.05
2,8.72,41.50,1,8.74,41.42,3,8.75,41.660,4,8.68,41.734
