Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME
2,7.04,7.04,1,6.94,6.94,4,7.11,7.11,3,7.07,7.07
2,9.37,16.41,1,9.16,16.10,3,9.40,16.51,4,9.50,16.57
2,8.52,24.93,1,8.75,24.85,3,8.56,25.07,4,8.82,25.39
1,8.70,33.63,2,8.81,33.66,3,8.73,33.80,4,8.87,34.26
1,9.18,42.806,2,9.29,42.941,3,9.27,43.068,4,9.44,43.695
