LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Matthew FULLER POSITION,Matthew FULLER LAP TIME,Matthew FULLER ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME
3,9.1286,9.1286,5,9.3748,9.3748,4,9.3245,9.3245,6,9.6201,9.6201,2,9.0172,9.0172,1,8.4366,8.4366
3,13.1796,22.3082,6,13.1953,22.5701,4,13.0760,22.4005,5,12.8854,22.5055,2,13.1504,22.1676,1,13.3200,21.7566
3,12.8376,35.1458,5,12.9630,35.5331,2,12.6345,35.0350,6,13.0299,35.5354,4,13.0607,35.2283,1,12.6120,34.3686
3,12.5980,47.7438,6,12.3961,47.9292,2,12.4018,47.4368,5,12.3920,47.9274,4,12.5279,47.7562,1,12.8746,47.2432
3,11.4435,59.1873,5,11.4936,59.4228,6,12.1082,59.5450,4,11.4049,59.3323,2,11.4043,59.1605,1,11.6084,58.8516
2,10.4130,1:09.6003,5,10.5187,1:09.9415,3,10.1328,1:09.6778,4,10.5777,1:09.9100,6,10.9829,1:10.1434,1,10.4286,1:09.2802
4,10.3401,1:19.9404,5,10.1146,1:20.0561,3,10.2440,1:19.9218,2,9.8332,1:19.7432,6,10.1363,1:20.2797,1,10.1064,1:19.3866
2,9.5878,1:29.5282,4,9.7691,1:29.8252,3,9.7802,1:29.7020,5,10.2251,1:29.9683,6,10.0433,1:30.3230,1,10.1312,1:29.5178
2,9.8342,1:39.3624,5,9.8697,1:39.6949,1,9.6459,1:39.3479,4,9.6109,1:39.5792,6,9.6274,1:39.9504,3,9.8942,1:39.4120
2,9.4823,1:48.8447,5,9.5339,1:49.2288,3,9.7237,1:49.0716,4,9.5435,1:49.1227,6,9.7211,1:49.6715,1,9.4129,1:48.8249
2,9.3777,1:58.2224,5,9.3017,1:58.5305,3,9.3189,1:58.3905,4,9.3265,1:58.4492,6,9.2719,1:58.9434,1,9.0708,1:57.8957
1,9.1172,2:07.3396,5,9.3821,2:07.9126,3,9.2535,2:07.6440,4,9.4010,2:07.8502,6,9.1966,2:08.1400,2,9.5411,2:07.4368
1,9.2140,2:16.5536,3,9.3035,2:17.2161,2,9.4032,2:17.0472,4,9.5518,2:17.4020,6,9.4212,2:17.5612,5,10.0174,2:17.4542
1,9.92,2:26.466,2,9.57,2:26.781,3,9.83,2:26.872,4,9.54,2:26.936,5,9.84,2:27.393,6,13.76,2:31.214
