Sabrina BOURGELA POSITION,Sabrina BOURGELA LAP TIME,Sabrina BOURGELA ELAPSED TIME,Marie YOSHIDA POSITION,Marie YOSHIDA LAP TIME,Marie YOSHIDA ELAPSED TIME,Xeniya MOTOVA POSITION,Xeniya MOTOVA LAP TIME,Xeniya MOTOVA ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Yulia KICHAPOVA POSITION,Yulia KICHAPOVA LAP TIME,Yulia KICHAPOVA ELAPSED TIME
2,8.97,8.97,1,8.87,8.87,4,9.26,9.26,3,9.15,9.15,5,9.34,9.34
2,14.97,23.94,1,14.97,23.84,4,14.95,24.21,3,14.93,24.08,5,15.04,24.38
3,14.90,38.84,2,14.89,38.73,4,14.74,38.95,1,14.62,38.70,5,14.75,39.13
3,12.20,51.04,2,12.21,50.94,4,12.19,51.14,1,12.10,50.80,5,12.16,51.29
3,11.84,1:02.88,2,11.80,1:02.74,4,11.84,1:02.98,1,11.82,1:02.62,5,11.73,1:03.02
3,10.49,1:13.37,2,10.55,1:13.29,4,10.50,1:13.48,1,10.56,1:13.18,5,10.47,1:13.49
3,10.20,1:23.57,2,10.20,1:23.49,4,10.20,1:23.68,1,10.21,1:23.39,5,10.29,1:23.78
3,10.33,1:33.90,2,10.31,1:33.80,4,10.31,1:33.99,1,10.30,1:33.69,5,10.39,1:34.17
3,10.30,1:44.20,2,10.31,1:44.11,4,10.31,1:44.30,1,10.30,1:43.99,5,10.27,1:44.44
3,10.03,1:54.23,2,10.02,1:54.13,4,10.03,1:54.33,1,10.04,1:54.03,5,10.15,1:54.59
3,9.75,2:03.98,2,9.80,2:03.93,4,9.84,2:04.17,1,9.79,2:03.82,5,9.95,2:04.54
3,9.56,2:13.54,2,9.54,2:13.47,4,9.76,2:13.93,1,9.57,2:13.39,5,10.29,2:14.83
2,9.53,2:23.07,3,9.63,2:23.10,4,10.26,2:24.19,1,9.61,2:23.00,5,11.04,2:25.87
2,9.77,2:32.834,3,9.92,2:33.018,4,10.72,2:34.910,1,9.81,2:32.807,5,11.92,2:37.788
