KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
4,8.86,8.86,2,8.57,8.57,3,8.70,8.70,1,8.43,8.43,5,9.01,9.01
4,12.60,21.46,2,12.61,21.18,3,12.59,21.29,1,12.58,21.01,5,12.56,21.57
5,12.40,33.86,2,12.32,33.50,3,12.33,33.62,1,12.37,33.38,4,12.15,33.72
5,11.52,45.38,3,11.63,45.13,1,11.28,44.90,2,11.65,45.03,4,11.56,45.28
4,10.15,55.53,3,10.35,55.48,2,10.49,55.39,1,10.26,55.29,5,10.37,55.65
4,10.50,1:06.03,2,10.35,1:05.83,3,10.50,1:05.89,1,10.48,1:05.77,5,10.50,1:06.15
1,9.48,1:15.51,2,9.68,1:15.51,4,9.75,1:15.64,3,9.80,1:15.57,5,9.62,1:15.77
2,9.29,1:24.80,3,9.30,1:24.81,4,9.35,1:24.99,1,9.22,1:24.79,5,9.37,1:25.14
2,9.27,1:34.07,1,9.14,1:33.95,4,9.29,1:34.28,3,9.39,1:34.18,5,9.26,1:34.40
2,9.38,1:43.45,1,9.38,1:43.33,4,9.35,1:43.63,3,9.35,1:43.53,5,9.38,1:43.78
1,8.89,1:52.34,2,9.17,1:52.50,4,9.19,1:52.82,3,9.14,1:52.67,5,9.20,1:52.98
1,8.70,2:01.04,2,8.79,2:01.29,5,9.01,2:01.83,3,8.97,2:01.64,4,8.78,2:01.76
1,8.76,2:09.80,2,8.82,2:10.11,5,9.09,2:10.92,3,8.95,2:10.59,4,8.86,2:10.62
1,9.11,2:18.902,2,9.09,2:19.194,5,9.40,2:20.312,4,9.10,2:19.688,3,8.87,2:19.486
