MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,MAZUR Nicole POSITION,MAZUR Nicole LAP TIME,MAZUR Nicole ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME
2,7.50,7.50,1,7.33,,3,7.77,7.77,4,7.82,7.82
2,9.45,16.95,1,9.54,,3,9.39,17.16,4,9.48,17.30
2,9.08,26.03,4,9.58,,1,8.86,26.02,3,8.79,26.09
2,9.29,35.32,4,9.41,,1,9.21,35.23,3,9.43,35.52
1,9.27,44.59,4,9.41,,2,9.52,44.75,3,9.49,45.01
