Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Eduardo ALVAREZ POSITION,Eduardo ALVAREZ LAP TIME,Eduardo ALVAREZ ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME
1,7.14,7.14,2,7.23,7.23,4,7.42,7.42,3,7.33,7.33
1,9.34,16.48,2,9.33,16.56,4,9.63,17.05,3,9.43,16.76
1,8.80,25.28,2,8.81,25.37,4,9.01,26.06,3,8.84,25.60
2,8.85,34.13,1,8.67,34.04,4,9.11,35.17,3,9.02,34.62
2,9.07,43.194,1,8.99,43.027,4,9.28,44.443,3,9.27,43.888
