Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,Elisa LENKE POSITION,Elisa LENKE LAP TIME,Elisa LENKE ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME
3,13.69,13.69,4,13.83,13.83,2,13.61,13.61,1,13.49,13.49
1,10.30,23.99,4,10.49,24.32,3,10.59,24.20,2,10.59,24.08
2,10.43,34.42,4,10.38,34.70,3,10.40,34.60,1,10.33,34.41
2,10.32,44.74,4,10.22,44.92,3,10.24,44.84,1,10.24,44.65
2,10.19,54.93,4,10.22,55.14,3,10.20,55.04,1,10.21,54.86
3,10.09,1:05.02,4,9.99,1:05.13,2,9.87,1:04.91,1,9.94,1:04.80
3,9.80,1:14.82,4,9.82,1:14.95,2,9.77,1:14.68,1,9.77,1:14.57
3,9.72,1:24.54,4,9.82,1:24.77,2,9.67,1:24.35,1,9.78,1:24.35
3,9.85,1:34.388,4,9.97,1:34.732,1,9.64,1:33.983,2,9.72,1:34.070
