Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME,CHOI Eun-Kyung POSITION,CHOI Eun-Kyung LAP TIME,CHOI Eun-Kyung ELAPSED TIME,Caroline HALLISEY POSITION,Caroline HALLISEY LAP TIME,Caroline HALLISEY ELAPSED TIME
3,9.434,9.434,2,9.199,9.199,1,9.084,9.084,4,9.561,9.561,5,9.639,9.639
2,13.366,22.799,1,13.502,22.701,3,13.808,22.891,5,13.518,23.079,4,13.382,23.020
3,12.721,35.520,1,12.648,35.348,2,12.572,35.462,4,12.667,35.745,5,12.816,35.836
1,12.703,48.222,2,12.942,48.290,3,12.984,48.446,5,12.871,48.616,4,12.769,48.605
1,11.733,59.955,2,11.671,59.960,3,11.832,1:00.278,5,11.793,1:00.408,4,11.745,1:00.349
1,11.244,1:11.199,2,11.425,1:11.384,5,11.409,1:11.687,3,11.190,1:11.598,4,11.326,1:11.675
5,13.260,1:24.458,2,10.799,1:22.183,1,10.166,1:21.852,3,10.663,1:22.260,4,10.604,1:22.279
2,7.759,1:32.217,5,10.151,1:32.333,3,10.424,1:32.276,4,10.037,1:32.297,1,9.821,1:32.100
2,9.890,1:42.106,3,10.002,1:42.335,5,10.120,1:42.395,4,10.065,1:42.361,1,9.933,1:42.032
2,10.231,1:52.337,5,10.206,1:52.540,4,10.053,1:52.448,3,10.077,1:52.438,1,10.216,1:52.248
1,10.261,2:02.597,4,10.186,2:02.725,5,10.369,2:02.817,3,10.242,2:02.679,2,10.402,2:02.650
1,10.111,2:12.708,3,10.129,2:12.854,5,10.097,2:12.913,4,10.186,2:12.865,2,10.169,2:12.818
2,9.852,2:22.560,3,10.099,2:22.952,5,11.929,2:24.842,1,9.288,2:22.152,4,10.202,2:23.020
2,10.28,2:32.837,3,10.01,2:32.955,5,12.26,2:37.101,1,10.40,2:32.552,4,10.89,2:33.904
