Mai SHINKAI POSITION,Mai SHINKAI LAP TIME,Mai SHINKAI ELAPSED TIME,JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,MENG Xiaoxue POSITION,MENG Xiaoxue LAP TIME,MENG Xiaoxue ELAPSED TIME
1,8.270,8.270,4,8.620,8.620,2,8.530,8.530,5,8.740,8.740,3,8.550,8.550
1,11.350,19.620,5,11.370,20.000,2,11.230,19.770,4,11.240,19.980,3,11.250,19.810
3,11.030,30.660,5,10.890,30.890,4,11.040,30.820,1,10.620,30.610,2,10.830,30.640
2,11.090,41.750,5,11.020,41.920,4,10.970,41.800,3,11.150,41.760,1,10.930,41.580
4,11.250,53.010,5,11.300,53.220,3,11.110,52.910,1,11.090,52.850,2,11.320,52.910
3,11.360,1:04.370,4,11.150,1:04.380,1,11.390,1:04.300,2,11.470,1:04.320,5,11.630,1:04.540
1,11.020,1:15.400,3,11.220,1:15.600,2,11.190,1:15.500,5,11.380,1:15.700,4,11.080,1:15.630
5,10.560,1:25.960,2,9.850,1:25.460,4,10.220,1:25.720,1,9.590,1:25.300,3,9.830,1:25.460
5,9.860,1:35.830,2,9.670,1:35.130,4,9.880,1:35.610,3,10.250,1:35.550,1,9.630,1:35.100
5,10.190,1:46.020,1,9.510,1:44.640,4,10.170,1:45.780,3,9.440,1:45.000,2,9.760,1:44.870
5,10.550,1:56.580,2,10.100,1:54.740,4,10.770,1:56.560,3,9.950,1:54.950,1,9.600,1:54.470
5,12.640,2:09.230,3,9.690,2:04.440,4,11.860,2:08.420,2,9.410,2:04.370,1,9.850,2:04.320
5,11.930,2:21.160,1,9.600,2:14.040,4,12.500,2:20.930,3,10.110,2:14.480,2,9.990,2:14.320
4,12.860,2:34.030,1,9.920,2:23.960,5,13.690,2:34.620,3,10.500,2:24.990,2,10.290,2:24.620
