BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Alvaro PENA POSITION,Alvaro PENA LAP TIME,Alvaro PENA ELAPSED TIME
1,8.59,8.59,4,8.89,8.89,5,9.00,9.00,2,8.78,8.78,3,8.84,8.84,6,9.15,9.15
1,11.35,19.94,4,11.36,20.25,5,11.38,20.38,3,11.37,20.15,2,11.25,20.09,6,11.35,20.50
1,10.43,30.37,4,10.48,30.73,5,10.51,30.89,3,10.48,30.63,2,10.44,30.53,6,10.44,30.94
1,10.19,40.56,4,10.16,40.89,5,10.11,41.00,3,10.14,40.77,2,10.14,40.67,6,10.23,41.17
1,9.97,50.53,4,9.90,50.79,5,9.91,50.91,3,9.93,50.70,2,9.94,50.61,6,9.87,51.04
1,9.82,1:00.35,4,9.87,1:00.66,5,9.88,1:00.79,3,9.87,1:00.57,2,9.85,1:00.46,6,9.91,1:00.95
1,9.70,1:10.05,4,9.65,1:10.31,5,9.65,1:10.44,3,9.65,1:10.22,2,9.67,1:10.13,6,9.62,1:10.57
3,9.46,1:19.51,4,9.35,1:19.66,5,9.37,1:19.81,2,9.26,1:19.48,1,9.29,1:19.42,6,9.55,1:20.12
4,9.61,1:29.12,3,9.35,1:29.01,5,9.45,1:29.26,2,9.45,1:28.93,1,9.40,1:28.82,6,9.70,1:29.82
4,9.31,1:38.43,3,9.31,1:38.32,5,9.41,1:38.67,1,9.19,1:38.12,2,9.43,1:38.25,6,10.14,1:39.96
3,9.09,1:47.52,4,9.20,1:47.52,5,9.54,1:48.21,1,9.25,1:47.37,2,9.14,1:47.39,6,10.57,1:50.53
3,9.21,1:56.73,4,9.25,1:56.77,5,9.83,1:58.04,2,9.11,1:56.48,1,8.96,1:56.35,6,10.95,2:01.48
4,10.72,2:07.45,3,9.90,2:06.67,5,10.43,2:08.47,2,9.01,2:05.49,1,9.03,2:05.38,6,11.33,2:12.81
4,12.67,2:20.111,0,,PEN,3,10.49,2:18.954,2,9.51,2:14.995,1,9.39,2:14.764,5,11.47,2:24.274
