Kuandyk SULEYMENOV POSITION,Kuandyk SULEYMENOV LAP TIME,Kuandyk SULEYMENOV ELAPSED TIME,LEE Munhyeon POSITION,LEE Munhyeon LAP TIME,LEE Munhyeon ELAPSED TIME,BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME,LAHIMAKHAY Ivan POSITION,LAHIMAKHAY Ivan LAP TIME,LAHIMAKHAY Ivan ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME
2,13.63,13.63,3,13.69,13.69,5,13.99,13.99,4,13.78,13.78,1,13.03,13.03
2,10.71,24.34,3,10.80,24.49,5,11.21,25.20,4,11.09,24.87,1,11.00,24.03
2,10.69,35.03,3,10.72,35.21,5,23.11,48.31,4,10.53,35.40,1,10.56,34.59
3,10.28,45.31,2,10.04,45.25,5,11.70,1:00.01,4,10.43,45.83,1,10.60,45.19
2,9.77,55.08,1,9.56,54.81,5,11.11,1:11.12,3,9.73,55.56,4,10.39,55.58
2,9.91,1:04.99,1,9.66,1:04.47,5,11.51,1:22.63,4,9.87,1:05.43,3,9.74,1:05.32
3,9.38,1:14.37,1,9.43,1:13.90,5,11.04,1:33.67,4,10.74,1:16.17,2,9.01,1:14.33
2,9.15,1:23.52,1,9.20,1:23.10,5,11.32,1:44.99,4,10.36,1:26.53,3,9.39,1:23.72
2,10.30,1:33.817,1,9.97,1:33.066,4,11.26,1:56.250,3,11.27,1:37.796,0,,PEN
