Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Elliott SHRIANE POSITION,Elliott SHRIANE LAP TIME,Elliott SHRIANE ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME
1,13.05,13.05,2,13.15,13.15,3,13.25,13.25,4,13.28,13.28
1,10.87,23.92,2,10.84,23.99,3,10.74,23.99,4,10.85,24.14
2,9.74,33.66,3,9.81,33.81,1,9.47,33.46,4,9.67,33.82
3,9.56,43.23,2,9.35,43.17,1,9.56,43.02,4,9.46,43.29
1,9.29,52.52,3,9.51,52.69,2,9.51,52.54,4,9.50,52.79
1,9.18,1:01.71,4,9.20,1:01.89,2,9.18,1:01.73,3,9.08,1:01.88
2,9.25,1:10.96,4,9.29,1:11.18,1,9.21,1:10.94,3,9.14,1:11.03
2,9.19,1:20.16,4,9.14,1:20.33,1,9.15,1:20.09,3,9.26,1:20.30
0,,DQ,3,9.81,1:30.132,1,9.31,1:29.399,2,9.33,1:29.628
