CHINA POSITION,CHINA LAP TIME,CHINA ELAPSED TIME,AUSTRALIA POSITION,AUSTRALIA LAP TIME,AUSTRALIA ELAPSED TIME,FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME,BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME
2,12.240,12.240,1,12.080,12.080,3,12.404,12.404,4,12.553,12.553
2,9.459,21.699,1,9.485,21.565,3,9.733,22.136,4,9.848,22.401
2,9.067,30.765,1,9.165,30.729,3,9.137,31.272,4,9.378,31.778
2,9.050,39.814,1,9.046,39.775,3,9.047,40.319,4,9.174,40.952
2,9.159,48.972,1,9.136,48.911,3,9.176,49.494,4,9.344,50.296
1,9.251,58.222,2,9.503,58.413,3,9.351,58.845,4,9.150,59.446
1,9.477,1:07.699,2,9.494,1:07.906,3,9.358,1:08.203,4,9.219,1:08.664
1,9.286,1:16.984,2,9.580,1:17.485,3,9.494,1:17.697,4,9.307,1:17.971
1,9.399,1:26.383,2,9.417,1:26.902,3,9.399,1:27.095,4,9.405,1:27.375
1,9.307,1:35.690,2,9.534,1:36.435,3,9.391,1:36.486,4,9.495,1:36.870
1,9.285,1:44.974,3,9.711,1:46.146,2,9.403,1:45.888,4,9.646,1:46.515
1,9.605,1:54.578,3,9.393,1:55.539,2,9.016,1:54.904,4,9.260,1:55.774
1,9.184,2:03.762,3,9.255,2:04.793,2,9.180,2:04.083,4,9.222,2:04.996
1,9.332,2:13.093,3,9.523,2:14.316,2,9.107,2:13.189,4,9.463,2:14.458
1,9.397,2:22.489,3,9.286,2:23.601,2,9.318,2:22.507,4,9.710,2:24.168
1,9.181,2:31.670,3,9.446,2:33.047,2,9.214,2:31.721,4,9.482,2:33.650
1,9.401,2:41.071,3,9.478,2:42.525,2,9.353,2:41.074,4,9.465,2:43.114
2,9.313,2:50.384,3,9.517,2:52.041,1,9.144,2:50.217,4,9.271,2:52.385
2,8.976,2:59.359,3,9.388,3:01.429,1,9.071,2:59.287,4,9.236,3:01.621
1,9.138,3:08.496,3,9.333,3:10.762,2,9.362,3:08.649,4,9.489,3:11.110
1,9.234,3:17.730,3,9.311,3:20.072,2,9.437,3:18.085,4,9.498,3:20.607
1,8.993,3:26.723,3,9.607,3:29.678,2,10.128,3:28.213,4,9.477,3:30.084
1,9.229,3:35.951,3,9.641,3:39.319,2,8.646,3:36.858,4,9.570,3:39.653
1,9.374,3:45.325,3,9.523,3:48.842,2,9.444,3:46.302,4,9.656,3:49.309
1,9.366,3:54.691,3,9.443,3:58.285,2,9.496,3:55.798,4,9.439,3:58.748
1,9.315,4:04.005,3,9.627,4:07.911,2,9.733,4:05.530,4,9.489,4:08.236
1,9.815,4:13.819,3,9.579,4:17.490,2,9.493,4:15.023,4,9.468,4:17.704
1,9.348,4:23.166,3,9.507,4:26.997,2,9.494,4:24.517,4,10.049,4:27.752
1,9.653,4:32.819,3,9.544,4:36.540,2,9.824,4:34.340,4,9.859,4:37.611
1,9.520,4:42.338,3,9.538,4:46.078,2,9.288,4:43.628,4,9.993,4:47.603
1,9.476,4:51.814,3,9.695,4:55.773,2,9.947,4:53.575,4,9.589,4:57.191
1,9.571,5:01.385,3,9.593,5:05.366,2,9.858,5:03.432,4,9.459,5:06.650
1,9.481,5:10.865,3,9.662,5:15.027,2,9.484,5:12.915,4,9.494,5:16.143
1,9.544,5:20.409,3,9.598,5:24.625,2,9.726,5:22.641,4,10.013,5:26.156
1,9.777,5:30.186,3,9.600,5:34.224,2,9.884,5:32.525,4,10.250,5:36.405
1,9.705,5:39.890,3,9.860,5:44.084,2,9.287,5:41.812,4,9.982,5:46.387
1,9.821,5:49.711,3,9.323,5:53.407,2,9.682,5:51.494,4,10.248,5:56.634
1,9.666,5:59.376,3,9.923,6:03.329,2,9.790,6:01.283,4,9.943,6:06.577
1,9.349,6:08.725,3,10.019,6:13.348,2,9.396,6:10.678,4,9.532,6:16.108
1,9.385,6:18.109,3,9.645,6:22.992,2,9.828,6:20.506,4,10.387,6:26.494
1,9.953,6:28.062,3,9.690,6:32.682,2,9.618,6:30.123,4,10.387,6:36.880
1,9.452,6:37.513,3,9.929,6:42.610,2,9.715,6:39.838,4,10.395,6:47.275
1,9.569,6:47.081,3,9.759,6:52.369,2,9.787,6:49.624,4,10.227,6:57.501
1,9.344,6:56.425,3,9.469,7:01.838,2,9.981,6:59.605,4,9.638,7:07.139
1,9.81,7:06.235,3,9.96,7:11.791,2,10.84,7:10.437,4,10.06,7:17.198
