Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Martin JOHANSSON POSITION,Martin JOHANSSON LAP TIME,Martin JOHANSSON ELAPSED TIME,Karol BOBOWICZ POSITION,Karol BOBOWICZ LAP TIME,Karol BOBOWICZ ELAPSED TIME
3,13.936,13.936,4,14.346,14.346,1,13.896,13.896,2,13.920,13.920
2,10.561,24.496,4,10.341,24.686,1,10.504,24.400,3,10.732,24.651
3,10.176,34.672,2,9.934,34.620,4,10.281,34.680,1,9.923,34.574
3,9.582,44.254,2,9.621,44.240,1,9.491,44.171,4,9.733,44.307
2,9.476,53.729,3,9.641,53.881,1,9.323,53.494,4,9.748,54.054
1,9.158,1:02.887,3,9.139,1:03.019,2,9.469,1:02.962,4,9.280,1:03.334
2,9.343,1:12.230,1,9.121,1:12.140,3,9.424,1:12.385,4,9.192,1:12.525
1,9.276,1:21.506,2,9.434,1:21.573,3,9.451,1:21.836,4,9.454,1:21.979
1,9.77,1:31.268,0,,DQ,2,9.69,1:31.525,3,9.79,1:31.768
