Lia STEPANOVA POSITION,Lia STEPANOVA LAP TIME,Lia STEPANOVA ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME
3,13.88,13.88,1,13.64,13.64,2,13.76,13.76
1,10.11,23.99,2,10.48,24.12,3,10.48,24.24
1,9.99,33.98,2,10.00,34.12,3,9.99,34.23
1,9.98,43.96,2,9.97,44.09,3,9.99,44.22
2,10.10,54.06,1,9.92,54.01,3,9.96,54.18
3,10.03,1:04.09,1,9.68,1:03.69,2,9.62,1:03.80
3,10.07,1:14.16,1,9.83,1:13.52,2,9.83,1:13.63
3,10.32,1:24.48,1,10.02,1:23.54,2,9.98,1:23.61
3,10.79,1:35.261,1,10.19,1:33.727,2,10.21,1:33.811
