Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME
3,13.61,13.61,2,13.45,13.45,1,13.35,13.35,4,13.78,13.78
3,9.84,23.45,1,9.73,23.18,2,9.94,23.29,4,9.90,23.68
3,9.50,32.95,1,9.56,32.74,2,9.53,32.82,4,9.44,33.12
3,9.27,42.22,1,9.30,42.04,2,9.29,42.11,4,9.24,42.36
3,9.12,51.34,1,9.21,51.25,2,9.17,51.28,4,9.13,51.49
3,9.42,1:00.76,1,9.21,1:00.46,4,9.78,1:01.06,2,9.15,1:00.64
3,9.11,1:09.87,1,9.18,1:09.64,4,9.21,1:10.27,2,9.11,1:09.75
3,9.19,1:19.06,1,9.26,1:18.90,4,9.34,1:19.61,2,9.17,1:18.92
1,9.90,1:28.952,0,,PEN,0,,PEN,2,10.30,1:29.215
