Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
1,16.050,54.020,2,16.040,54.080
1,13.280,1:07.310,2,13.370,1:07.450
1,11.080,1:18.400,2,11.120,1:18.580
2,10.800,1:29.200,1,10.580,1:29.160
1,10.230,1:39.430,2,10.380,1:39.550
1,9.220,1:48.660,2,9.250,1:48.800
2,10.730,1:59.390,1,9.720,1:58.520
