LIU Ying Bao POSITION,LIU Ying Bao LAP TIME,LIU Ying Bao ELAPSED TIME,Eric BEDARD POSITION,Eric BEDARD LAP TIME,Eric BEDARD ELAPSED TIME,Takehiro KODERA POSITION,Takehiro KODERA LAP TIME,Takehiro KODERA ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME
3,6.930,6.930,1,6.469,6.469,2,6.850,6.850,4,7.091,7.091
2,9.101,16.031,1,9.424,15.892,3,9.386,16.235,4,9.179,16.270
1,8.693,24.723,2,8.842,24.734,3,8.654,24.889,4,8.643,24.912
1,8.754,33.477,3,8.872,33.606,2,8.666,33.554,4,8.784,33.696
1,9.45,42.923,2,9.43,43.035,4,9.54,43.085,3,9.37,43.064
