Liesbeth MAU ASAM POSITION,Liesbeth MAU ASAM LAP TIME,Liesbeth MAU ASAM ELAPSED TIME,Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME,Hyo-Jung KIM POSITION,Hyo-Jung KIM LAP TIME,Hyo-Jung KIM ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Elizaveta IVLJEVA POSITION,Elizaveta IVLJEVA LAP TIME,Elizaveta IVLJEVA ELAPSED TIME
2,9.150,9.150,3,9.165,9.165,1,9.098,9.098,5,9.379,9.379,4,9.182,9.182
1,13.188,22.337,4,13.363,22.528,3,13.263,22.360,5,13.446,22.825,2,13.173,22.355
2,13.114,35.451,3,13.129,35.656,4,13.459,35.819,5,13.019,35.843,1,12.981,35.335
1,13.110,48.561,3,12.964,48.619,4,13.006,48.825,5,13.057,48.900,2,13.241,48.576
2,13.032,1:01.592,3,13.079,1:01.697,5,13.065,1:01.889,4,12.967,1:01.867,1,12.973,1:01.548
2,12.619,1:14.210,3,12.590,1:14.287,4,12.539,1:14.428,5,12.621,1:14.487,1,12.565,1:14.113
2,12.666,1:26.875,3,12.676,1:26.962,4,12.723,1:27.150,5,12.704,1:27.190,1,12.679,1:26.792
3,11.672,1:38.547,5,11.830,1:38.792,1,11.015,1:38.165,2,11.324,1:38.514,4,11.757,1:38.549
3,10.203,1:48.749,5,10.190,1:48.981,1,10.241,1:48.405,2,10.130,1:48.643,4,10.431,1:48.979
2,10.095,1:58.844,5,10.128,1:59.109,1,10.197,1:58.602,4,10.410,1:59.052,3,10.045,1:59.024
2,10.055,2:08.898,5,10.272,2:09.380,1,10.207,2:08.808,4,10.059,2:09.111,3,10.043,2:09.066
1,9.957,2:18.854,5,10.379,2:19.758,2,10.060,2:18.868,4,10.133,2:19.244,3,10.102,2:19.168
2,10.012,2:28.865,5,11.045,2:30.803,1,9.891,2:28.758,4,10.264,2:29.508,3,9.877,2:29.044
2,9.90,2:38.762,5,11.59,2:42.392,1,9.87,2:38.626,4,11.52,2:41.019,3,10.39,2:39.434
