BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME,ASCIC Valentina POSITION,ASCIC Valentina LAP TIME,ASCIC Valentina ELAPSED TIME,SOMOGYI Barbara POSITION,SOMOGYI Barbara LAP TIME,SOMOGYI Barbara ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME
4,12.33,12.33,3,12.22,12.22,4,12.33,12.33,6,12.36,12.36,1,12.06,12.06,2,12.12,12.12
4,15.90,28.23,3,15.90,28.12,5,16.06,28.39,6,16.13,28.49,2,15.89,27.95,1,15.71,27.83
4,13.66,41.89,3,13.64,41.76,5,13.65,42.04,6,13.66,42.15,2,13.65,41.60,1,13.66,41.49
4,12.68,54.57,3,12.70,54.46,5,12.69,54.73,6,12.72,54.87,2,12.73,54.33,1,12.74,54.23
4,12.18,1:06.75,3,12.18,1:06.64,5,12.17,1:06.90,6,12.13,1:07.00,2,12.23,1:06.56,1,12.23,1:06.46
4,11.73,1:18.48,3,11.74,1:18.38,5,11.69,1:18.59,6,11.67,1:18.67,2,11.72,1:18.28,1,11.72,1:18.18
4,11.48,1:29.96,3,11.48,1:29.86,5,11.49,1:30.08,6,11.47,1:30.14,2,11.48,1:29.76,1,11.47,1:29.65
4,10.91,1:40.87,3,10.92,1:40.78,5,10.90,1:40.98,6,10.91,1:41.05,2,10.91,1:40.67,1,10.91,1:40.56
4,10.59,1:51.46,3,10.61,1:51.39,5,10.58,1:51.56,6,10.59,1:51.64,2,10.60,1:51.27,1,10.62,1:51.18
4,10.34,2:01.80,3,10.34,2:01.73,5,10.36,2:01.92,6,10.38,2:02.02,2,10.39,2:01.66,1,10.40,2:01.58
4,10.03,2:11.83,3,10.04,2:11.77,6,10.20,2:12.12,5,10.07,2:12.09,2,10.01,2:11.67,1,10.01,2:11.59
4,9.81,2:21.64,3,9.79,2:21.56,6,10.17,2:22.29,5,9.89,2:21.98,2,9.79,2:21.46,1,9.77,2:21.36
4,9.67,2:31.31,3,9.65,2:31.21,6,10.49,2:32.78,5,9.89,2:31.87,2,9.65,2:31.11,1,9.66,2:31.02
4,9.94,2:41.254,3,9.90,2:41.115,6,11.12,2:43.902,5,10.63,2:42.505,2,9.66,2:40.776,1,9.65,2:40.672
