Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Tania VICENT POSITION,Tania VICENT LAP TIME,Tania VICENT ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME
4,10.313,10.313,2,10.209,10.209,1,9.926,9.926,3,10.223,10.223
4,14.331,24.644,2,14.348,24.556,1,14.337,24.263,3,14.356,24.579
4,13.158,37.801,2,13.148,37.704,1,13.171,37.434,3,13.206,37.784
3,12.442,50.243,2,12.471,50.175,1,12.633,50.067,4,12.655,50.440
2,11.562,1:01.804,3,11.661,1:01.835,1,11.594,1:01.661,4,11.510,1:01.949
2,11.223,1:13.027,3,11.347,1:13.182,1,11.347,1:13.008,4,11.373,1:13.322
3,11.600,1:24.627,2,11.416,1:24.598,1,11.427,1:24.435,4,11.395,1:24.717
1,10.921,1:35.548,3,11.112,1:35.710,2,11.244,1:35.679,4,11.065,1:35.782
1,10.191,1:45.739,2,10.045,1:45.755,4,10.240,1:45.920,3,9.996,1:45.778
1,10.038,1:55.776,2,10.046,1:55.801,4,10.084,1:56.004,3,10.056,1:55.835
2,10.106,2:05.882,1,10.064,2:05.865,3,10.072,2:06.076,4,10.276,2:06.110
1,10.041,2:15.923,2,10.101,2:15.965,4,10.189,2:16.265,3,9.885,2:15.995
1,10.012,2:25.935,2,10.041,2:26.006,4,10.550,2:26.815,3,10.308,2:26.303
1,10.080,2:36.015,2,10.114,2:36.120,4,11.291,2:38.106,3,10.614,2:36.917
