Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME
2,12.66,12.66,1,12.54,12.54,3,12.74,12.74,4,12.87,12.87
3,9.89,22.55,1,9.80,22.34,2,9.72,22.46,4,9.80,22.67
3,9.72,32.27,1,9.69,32.03,2,9.70,32.16,4,9.68,32.35
3,9.74,42.01,1,9.77,41.80,2,9.78,41.94,4,9.75,42.10
3,9.63,51.64,1,9.71,51.51,2,9.65,51.59,4,9.65,51.75
3,9.51,1:01.15,1,9.53,1:01.04,2,9.47,1:01.06,4,9.55,1:01.30
2,9.24,1:10.39,3,9.37,1:10.41,1,9.18,1:10.24,4,9.31,1:10.61
2,9.06,1:19.45,4,9.58,1:19.99,1,9.20,1:19.44,3,9.16,1:19.77
1,9.29,1:28.737,3,9.55,1:29.532,4,10.12,1:29.551,2,9.46,1:29.230
