NECASOVA Lucie POSITION,NECASOVA Lucie LAP TIME,NECASOVA Lucie ELAPSED TIME,Evita KRIEVANE POSITION,Evita KRIEVANE LAP TIME,Evita KRIEVANE ELAPSED TIME,RAINOLTER Cecilia POSITION,RAINOLTER Cecilia LAP TIME,RAINOLTER Cecilia ELAPSED TIME,RINCHEN Dolma POSITION,RINCHEN Dolma LAP TIME,RINCHEN Dolma ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME
1,0.994,0.994,2,10.021,10.021,3,10.299,10.299,5,10.837,10.837,4,10.465,10.465
4,24.003,24.997,1,14.598,24.618,2,14.605,24.903,5,15.257,26.094,3,14.487,24.952
2,13.458,38.454,1,13.572,38.190,3,13.586,38.489,5,14.443,40.536,4,13.733,38.685
2,13.570,52.024,1,13.510,51.699,3,13.537,52.025,5,14.304,54.840,4,13.400,52.085
3,13.057,1:05.080,1,12.973,1:04.671,2,12.923,1:04.948,5,14.841,1:09.680,4,13.118,1:05.202
3,12.604,1:17.684,1,12.644,1:17.315,2,12.485,1:17.433,5,15.423,1:25.103,4,12.535,1:17.737
3,11.799,1:29.483,1,11.903,1:29.218,2,11.892,1:29.325,5,16.542,1:41.644,4,11.768,1:29.504
3,10.921,1:40.404,1,10.952,1:40.169,2,10.866,1:40.190,5,16.456,1:58.099,4,11.077,1:40.581
3,10.659,1:51.062,1,10.328,1:50.497,2,10.620,1:50.809,5,17.895,2:15.994,4,10.628,1:51.208
3,10.756,2:01.818,1,10.727,2:01.224,2,10.467,2:01.276,5,18.330,2:34.323,4,11.090,2:02.298
3,11.111,2:12.928,1,10.633,2:11.856,2,10.859,2:12.135,5,19.446,2:53.769,4,11.216,2:13.513
3,11.483,2:24.410,1,10.918,2:22.773,2,10.854,2:22.989,5,18.160,3:11.929,4,11.934,2:25.447
3,11.951,2:36.361,1,11.275,2:34.048,2,11.238,2:34.227,5,18.346,3:30.275,4,12.695,2:38.141
3,12.81,2:49.168,1,11.49,2:45.531,2,11.53,2:45.755,5,18.92,3:49.189,4,13.38,2:51.517
