Stephane PERIER POSITION,Stephane PERIER LAP TIME,Stephane PERIER ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Siarhei YAKUSHKOU POSITION,Siarhei YAKUSHKOU LAP TIME,Siarhei YAKUSHKOU ELAPSED TIME
1,6.89,6.89,2,6.99,6.99,3,7.17,7.17,4,7.27,7.27
2,9.36,16.26,3,9.32,16.31,1,9.07,16.24,4,9.49,16.76
4,9.51,25.77,2,8.94,25.25,1,8.90,25.15,3,8.92,25.69
4,9.06,34.84,2,9.09,34.35,1,8.90,34.05,3,9.02,34.71
3,9.23,44.066,1,9.33,43.676,0,,DQ,2,9.31,44.014
