Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Jose CAVALLI POSITION,Jose CAVALLI LAP TIME,Jose CAVALLI ELAPSED TIME
1,9.29,9.29,3,9.43,9.43,5,9.64,9.64,5,9.64,9.64,2,9.40,9.40,4,9.50,9.50
3,12.53,21.82,2,12.29,21.72,6,12.50,22.14,5,12.32,21.96,1,12.26,21.66,4,12.35,21.85
3,12.59,34.41,2,12.56,34.28,6,12.65,34.79,5,12.68,34.64,1,12.54,34.20,4,12.67,34.52
3,13.08,47.49,2,13.06,47.34,4,12.76,47.55,6,13.09,47.73,1,13.05,47.25,5,13.08,47.60
3,10.94,58.43,3,11.09,58.43,1,10.74,58.29,5,10.88,58.61,2,11.11,58.36,6,11.07,58.67
5,10.40,1:08.83,3,10.13,1:08.56,1,10.11,1:08.40,6,10.35,1:08.96,2,10.11,1:08.47,4,10.06,1:08.73
4,10.10,1:18.93,3,10.29,1:18.85,1,10.30,1:18.70,6,10.17,1:19.13,2,10.31,1:18.78,5,10.33,1:19.06
4,10.10,1:29.03,3,10.07,1:28.92,1,10.11,1:28.81,6,10.21,1:29.34,1,10.03,1:28.81,5,10.14,1:29.20
2,9.66,1:38.69,4,9.84,1:38.76,3,9.94,1:38.75,6,9.65,1:38.99,1,9.77,1:38.58,5,9.70,1:38.90
2,9.64,1:48.33,4,9.70,1:48.46,3,9.65,1:48.40,6,9.93,1:48.92,1,9.67,1:48.25,5,9.87,1:48.77
2,9.63,1:57.96,4,9.68,1:58.14,3,9.63,1:58.03,6,9.76,1:58.68,1,9.61,1:57.86,5,9.81,1:58.58
4,9.76,2:07.72,3,9.57,2:07.71,2,9.54,2:07.57,6,10.05,2:08.73,1,9.57,2:07.43,5,9.87,2:08.45
4,9.59,2:17.31,2,9.35,2:17.06,1,9.41,2:16.98,6,10.52,2:19.25,3,9.67,2:17.10,5,10.26,2:18.71
4,9.92,2:27.205,2,9.65,2:26.71,1,9.58,2:26.56,6,10.69,2:29.915,3,9.87,2:26.955,5,10.77,2:29.470
