Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Yuka KAMINO POSITION,Yuka KAMINO LAP TIME,Yuka KAMINO ELAPSED TIME,Yvonne KUNZE POSITION,Yvonne KUNZE LAP TIME,Yvonne KUNZE ELAPSED TIME,FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME
5,9.056,9.056,4,8.975,8.975,3,8.932,8.932,1,8.560,8.560,2,8.790,8.790
4,11.266,20.321,1,10.751,19.726,5,11.436,20.368,2,11.451,20.011,3,11.261,20.050
1,10.477,30.798,2,11.091,30.816,5,10.882,31.250,4,11.058,31.068,3,10.974,31.024
2,10.582,41.380,3,10.644,41.459,5,10.400,41.649,1,10.305,41.372,4,10.591,41.614
3,10.321,51.700,4,10.359,51.818,2,10.023,51.672,1,10.143,51.514,5,10.209,51.823
1,10.086,1:01.786,4,10.388,1:02.206,5,10.544,1:02.215,2,10.405,1:01.919,3,10.191,1:02.013
1,10.170,1:11.955,5,10.061,1:12.266,4,9.985,1:12.200,2,10.059,1:11.978,3,10.100,1:12.112
1,10.349,1:22.303,5,10.480,1:22.746,4,10.533,1:22.733,2,10.405,1:22.382,3,10.493,1:22.605
1,10.703,1:33.006,4,10.652,1:33.397,5,10.693,1:33.426,2,10.692,1:33.074,3,10.563,1:33.168
1,10.341,1:43.346,5,10.412,1:43.808,3,10.171,1:43.596,2,10.349,1:43.422,4,10.433,1:43.600
1,10.047,1:53.393,5,10.028,1:53.835,4,10.159,1:53.755,2,10.004,1:53.426,3,9.973,1:53.573
1,10.063,2:03.456,4,10.025,2:03.860,5,10.110,2:03.865,2,10.209,2:03.634,3,10.156,2:03.728
1,10.066,2:13.521,5,10.242,2:14.101,4,10.148,2:14.013,3,10.280,2:13.914,2,10.147,2:13.875
1,10.45,2:23.966,4,10.57,2:24.666,3,10.45,2:24.457,5,24.60,2:38.505,2,10.56,2:24.426
