Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,de Vin WONG POSITION,de Vin WONG LAP TIME,de Vin WONG ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME
1,7.07,7.07,3,7.38,7.38,2,7.27,7.27,4,7.67,7.67,5,7.81,7.81
1,9.33,16.40,3,9.16,16.54,2,9.17,16.44,5,9.68,17.35,4,8.86,16.67
2,8.79,25.19,3,8.66,25.20,1,8.70,25.14,5,9.46,26.81,4,8.57,25.24
4,9.16,34.35,2,8.93,34.13,1,8.91,34.05,5,9.74,36.55,3,9.00,34.24
4,9.17,43.523,3,9.18,43.313,1,9.13,43.18,5,9.97,46.525,2,9.00,43.24
