FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Caroline TRUCHON POSITION,Caroline TRUCHON LAP TIME,Caroline TRUCHON ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME
1,7.16,7.16,3,7.45,7.45,5,7.51,7.51,2,7.35,7.35,4,7.49,7.49
1,9.53,16.69,5,9.65,17.10,4,9.58,17.09,2,9.40,16.75,3,9.29,16.78
5,35.57,52.26,4,9.19,26.29,2,9.12,26.21,1,9.33,26.08,3,9.50,26.28
5,16.15,1:08.41,4,9.69,35.98,2,9.53,35.74,1,9.57,35.65,3,9.58,35.86
4,12.35,1:20.759,3,10.16,46.140,2,9.57,45.310,1,9.59,45.240,0,,PEN
