Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME,ZHANG Zhiqiang POSITION,ZHANG Zhiqiang LAP TIME,ZHANG Zhiqiang ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME
1,13.840,13.840,3,14.200,14.200,2,14.120,14.120,4,14.330,14.330
1,10.930,24.780,3,10.860,25.070,2,10.760,24.890,4,10.790,25.130
1,10.090,34.880,3,10.030,35.100,2,10.200,35.090,4,10.030,35.160
2,10.090,44.970,3,9.950,45.060,1,9.800,44.890,4,9.930,45.100
1,9.610,54.590,2,9.640,54.700,3,9.870,54.770,4,9.740,54.840
2,9.970,1:04.560,3,9.960,1:04.670,1,9.740,1:04.520,4,9.900,1:04.740
1,9.760,1:14.330,3,9.860,1:14.530,4,10.320,1:14.840,2,9.760,1:14.510
1,9.820,1:24.160,2,9.790,1:24.330,4,9.600,1:24.450,3,9.830,1:24.340
1,9.890,1:34.050,3,9.910,1:34.240,4,9.970,1:34.430,2,9.750,1:34.100
