YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,KIM Si Un POSITION,KIM Si Un LAP TIME,KIM Si Un ELAPSED TIME,Artem DERKACH POSITION,Artem DERKACH LAP TIME,Artem DERKACH ELAPSED TIME,Jasper BRUNSMANN POSITION,Jasper BRUNSMANN LAP TIME,Jasper BRUNSMANN ELAPSED TIME,Marc-Olivier LEMAY POSITION,Marc-Olivier LEMAY LAP TIME,Marc-Olivier LEMAY ELAPSED TIME,Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME,Vladislav MIKHAILOV POSITION,Vladislav MIKHAILOV LAP TIME,Vladislav MIKHAILOV ELAPSED TIME
4,12.32,12.32,6,12.51,12.51,1,12.00,12.00,3,12.28,12.28,7,12.78,12.78,2,12.16,12.16,5,12.47,12.47
1,16.61,28.93,2,16.61,29.12,4,17.42,29.42,6,17.26,29.54,5,16.73,29.51,3,17.12,29.28,7,17.19,29.66
5,12.43,41.36,1,12.05,41.17,2,11.77,41.19,6,12.01,41.55,3,11.71,41.22,4,12.01,41.29,7,11.97,41.63
4,10.30,51.66,3,10.33,51.50,2,10.22,51.41,7,10.43,51.98,5,10.56,51.78,1,9.99,51.28,6,10.24,51.87
3,9.90,1:01.56,2,10.04,1:01.54,4,10.22,1:01.63,7,10.02,1:02.00,5,10.00,1:01.78,1,10.24,1:01.52,6,10.03,1:01.90
1,9.31,1:10.87,2,9.49,1:11.03,7,15.09,1:16.72,6,9.44,1:11.44,4,9.50,1:11.28,3,9.61,1:11.13,5,9.48,1:11.38
1,9.82,1:20.69,2,9.74,1:20.77,7,24.46,1:41.18,5,9.62,1:21.06,4,9.70,1:20.98,3,9.74,1:20.87,6,9.80,1:21.18
2,9.65,1:30.34,1,9.45,1:30.22,7,13.88,1:55.06,5,9.60,1:30.66,4,9.52,1:30.50,3,9.53,1:30.40,6,9.68,1:30.86
3,9.39,1:39.73,1,9.41,1:39.63,7,12.43,2:07.49,5,9.35,1:40.01,2,9.20,1:39.70,4,9.47,1:39.87,6,9.46,1:40.32
2,9.21,1:48.94,1,9.23,1:48.86,7,11.97,2:19.46,5,9.20,1:49.21,3,9.31,1:49.01,4,9.23,1:49.10,6,9.92,1:50.24
2,9.43,1:58.37,1,9.36,1:58.22,7,10.49,2:29.95,3,9.29,1:58.50,4,9.65,1:58.66,5,9.80,1:58.90,6,10.94,2:01.18
2,9.37,2:07.74,1,9.41,2:07.63,7,10.77,2:40.72,3,9.35,2:07.85,4,9.33,2:07.99,5,9.57,2:08.47,6,11.76,2:12.94
2,9.43,2:17.17,1,9.36,2:16.99,7,12.90,2:53.62,3,9.48,2:17.33,4,9.94,2:17.93,5,9.76,2:18.23,6,12.40,2:25.34
2,9.83,2:26.985,1,9.85,2:26.819,7,11.34,3:04.939,3,9.82,2:27.136,5,10.99,2:28.888,4,10.09,2:28.292,6,13.50,2:38.798
