Serge PLANCHER POSITION,Serge PLANCHER LAP TIME,Serge PLANCHER ELAPSED TIME,J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME
4,15.486,15.486,3,15.132,15.132,2,15.106,15.106,1,14.875,14.875
4,12.028,27.515,1,12.137,27.270,2,12.190,27.296,3,12.488,27.363
1,10.950,38.465,3,11.652,38.922,2,11.351,38.647,4,11.621,38.984
1,10.506,48.971,4,10.355,49.277,2,10.508,49.154,3,10.281,49.265
1,9.708,58.679,3,9.669,58.946,2,9.659,58.814,4,9.805,59.070
1,9.298,1:07.977,3,9.271,1:08.217,2,9.294,1:08.107,4,9.150,1:08.220
1,9.346,1:17.323,2,9.297,1:17.514,3,9.435,1:17.542,0,,
1,9.544,1:26.867,4,9.715,1:27.229,3,9.543,1:27.085,2,,1:27.048
1,9.785,1:36.652,4,10.050,1:37.280,3,9.825,1:36.909,2,9.733,1:36.781
