Alexander SELEZNOV POSITION,Alexander SELEZNOV LAP TIME,Alexander SELEZNOV ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME
4,9.69,9.69,3,9.60,9.60,1,9.32,9.32,5,9.81,9.81,2,9.46,9.46
4,13.80,23.49,3,13.82,23.42,2,14.01,23.33,5,13.87,23.68,1,13.73,23.19
4,12.61,36.10,3,12.59,36.01,2,12.56,35.89,5,12.56,36.24,1,12.58,35.77
4,12.06,48.16,3,12.04,48.05,2,12.05,47.94,5,12.06,48.30,1,12.05,47.82
5,11.42,59.58,4,11.44,59.49,3,11.47,59.41,1,10.88,59.18,2,11.46,59.28
5,10.74,1:10.32,4,10.73,1:10.22,3,10.70,1:10.11,2,10.84,1:10.02,1,10.61,1:09.89
5,10.44,1:20.76,4,10.40,1:20.62,2,10.31,1:20.42,3,10.47,1:20.49,1,10.50,1:20.39
5,10.01,1:30.77,4,9.98,1:30.60,1,9.93,1:30.35,3,10.01,1:30.50,2,10.04,1:30.43
5,10.26,1:41.03,4,10.11,1:40.71,1,9.98,1:40.33,3,10.03,1:40.53,2,9.99,1:40.42
5,10.37,1:51.40,4,9.53,1:50.24,1,9.60,1:49.93,3,9.57,1:50.10,2,9.59,1:50.01
5,10.57,2:01.97,4,9.22,1:59.46,1,9.19,1:59.12,2,9.08,1:59.18,3,9.20,1:59.21
5,11.19,2:13.16,4,9.46,2:08.92,2,9.24,2:08.36,1,8.90,2:08.08,3,9.22,2:08.43
5,11.69,2:24.85,4,9.82,2:18.74,2,9.17,2:17.53,1,8.97,2:17.05,3,9.18,2:17.61
5,11.73,2:36.580,4,10.15,2:28.887,2,9.28,2:26.810,1,9.18,2:26.226,3,9.36,2:26.970
