Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,YU Songnan POSITION,YU Songnan LAP TIME,YU Songnan ELAPSED TIME,Teppei KIKUCHI POSITION,Teppei KIKUCHI LAP TIME,Teppei KIKUCHI ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME
3,6.98,6.98,2,6.87,6.87,1,6.73,6.73,4,7.13,7.13,5,7.30,7.30
3,8.72,15.70,1,8.50,15.37,2,8.77,15.50,4,8.73,15.86,5,8.71,16.01
3,8.16,23.86,1,8.28,23.65,2,8.27,23.77,5,24.17,40.03,4,8.21,24.22
2,8.35,32.21,1,8.41,32.06,3,8.52,32.29,5,21.00,1:01.03,4,8.31,32.53
2,8.55,40.76,1,8.57,40.63,3,8.62,40.91,5,13.23,1:14.26,4,8.49,41.02
