SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Namasthee HARRIS-GAUTHIER POSITION,Namasthee HARRIS-GAUTHIER LAP TIME,Namasthee HARRIS-GAUTHIER ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Anastassiya KRESTOVA POSITION,Anastassiya KRESTOVA LAP TIME,Anastassiya KRESTOVA ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME
3,13.72,13.72,5,13.94,13.94,2,13.61,13.61,4,13.84,13.84,1,13.49,13.49
1,10.08,23.80,4,10.17,24.11,3,10.42,24.03,5,10.34,24.18,2,10.44,23.93
1,10.00,33.80,4,10.05,34.16,3,9.98,34.01,5,10.10,34.28,2,9.99,33.92
1,9.72,43.52,4,9.75,43.91,2,9.75,43.76,5,9.75,44.03,3,9.93,43.85
1,9.71,53.23,4,9.62,53.53,2,9.59,53.35,5,9.66,53.69,3,9.60,53.45
1,9.70,1:02.93,4,9.73,1:03.26,2,9.69,1:03.04,5,9.64,1:03.33,3,9.68,1:03.13
1,9.55,1:12.48,4,9.63,1:12.89,2,9.56,1:12.60,5,9.76,1:13.09,3,9.60,1:12.73
1,9.40,1:21.88,4,9.50,1:22.39,2,9.39,1:21.99,5,10.21,1:23.30,3,9.37,1:22.10
1,9.52,1:31.400,3,9.91,1:32.292,0,,PEN,4,11.10,1:34.399,2,9.52,1:31.620
