Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Fedor ANDREYEV POSITION,Fedor ANDREYEV LAP TIME,Fedor ANDREYEV ELAPSED TIME,Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME,KIM Yun-Jae POSITION,KIM Yun-Jae LAP TIME,KIM Yun-Jae ELAPSED TIME,Oleksandr ZHELTONOG POSITION,Oleksandr ZHELTONOG LAP TIME,Oleksandr ZHELTONOG ELAPSED TIME
3,12.09,12.09,1,11.57,11.57,5,12.54,12.54,4,12.28,12.28,2,11.85,11.85
3,14.77,26.86,1,15.03,26.60,5,14.59,27.13,4,14.72,27.00,2,14.93,26.78
3,13.78,40.64,1,13.73,40.33,5,13.94,41.07,4,13.91,40.91,2,13.70,40.48
3,12.81,53.45,1,12.87,53.20,4,12.53,53.60,5,12.71,53.62,2,12.83,53.31
4,11.80,1:05.25,2,11.88,1:05.08,1,11.36,1:04.96,5,11.84,1:05.46,3,11.89,1:05.20
4,10.66,1:15.91,5,10.88,1:15.96,3,10.89,1:15.85,1,10.06,1:15.52,2,10.57,1:15.77
2,9.58,1:25.49,5,9.96,1:25.92,3,9.76,1:25.61,1,9.77,1:25.29,4,10.10,1:25.87
2,9.59,1:35.08,4,9.62,1:35.54,3,9.58,1:35.19,1,9.63,1:34.92,5,9.88,1:35.75
2,9.58,1:44.66,4,9.43,1:44.97,3,9.62,1:44.81,1,9.59,1:44.51,5,10.07,1:45.82
2,9.56,1:54.22,4,9.58,1:54.55,3,9.63,1:54.44,1,9.49,1:54.00,5,9.89,1:55.71
2,9.42,2:03.64,4,9.78,2:04.33,3,9.75,2:04.19,1,9.32,2:03.32,5,10.11,2:05.82
2,9.23,2:12.87,4,10.04,2:14.37,3,10.05,2:14.24,1,9.30,2:12.62,5,10.59,2:16.41
2,9.16,2:22.03,4,10.28,2:24.65,3,10.23,2:24.47,1,9.29,2:21.91,5,10.88,2:27.29
1,9.36,2:31.386,4,10.64,2:35.288,3,10.38,2:34.841,2,9.60,2:31.507,5,11.15,2:38.440
