Jeroen SONNEVELD POSITION,Jeroen SONNEVELD LAP TIME,Jeroen SONNEVELD ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,WANG Xingchun POSITION,WANG Xingchun LAP TIME,WANG Xingchun ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Federico CHAVES POSITION,Federico CHAVES LAP TIME,Federico CHAVES ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME
2,9.81,9.81,1,9.67,9.67,3,9.98,9.98,5,10.30,10.30,4,10.11,10.11,6,10.46,10.46
1,13.48,23.29,2,13.65,23.32,4,13.68,23.66,6,13.59,23.89,5,13.69,23.80,3,13.03,23.49
1,10.73,34.02,2,10.81,34.13,4,10.69,34.35,6,10.74,34.63,5,10.67,34.47,3,10.77,34.26
1,10.33,44.35,2,10.30,44.43,4,10.33,44.68,5,10.14,44.77,6,10.30,44.77,3,10.28,44.54
1,10.04,54.39,2,10.04,54.47,4,10.03,54.71,5,10.05,54.82,6,10.21,54.98,3,10.04,54.58
1,9.87,1:04.26,2,9.89,1:04.36,4,9.90,1:04.61,5,9.87,1:04.69,6,9.98,1:04.96,3,9.92,1:04.50
1,9.72,1:13.98,2,9.73,1:14.09,4,9.72,1:14.33,5,9.76,1:14.45,6,10.34,1:15.30,3,9.70,1:14.20
1,9.42,1:23.40,2,9.39,1:23.48,4,9.37,1:23.70,5,9.36,1:23.81,6,10.80,1:26.10,3,9.38,1:23.58
1,9.27,1:32.67,2,9.26,1:32.74,4,9.23,1:32.93,5,9.21,1:33.02,6,11.31,1:37.41,3,9.25,1:32.83
1,9.28,1:41.95,2,9.27,1:42.01,4,9.28,1:42.21,5,9.27,1:42.29,6,11.69,1:49.10,3,9.29,1:42.12
1,9.48,1:51.43,2,9.42,1:51.43,4,9.33,1:51.54,5,9.33,1:51.62,6,13.20,2:02.30,3,9.39,1:51.51
4,9.49,2:00.92,1,9.01,2:00.44,2,9.03,2:00.57,3,9.30,2:00.92,6,12.36,2:14.66,5,9.74,2:01.25
4,9.65,2:10.57,1,9.15,2:09.59,2,9.15,2:09.72,3,8.99,2:09.91,6,12.67,2:27.33,5,9.81,2:11.06
3,9.80,2:20.361,1,9.44,2:19.026,0,,DNF,2,9.18,2:19.083,5,13.12,2:40.447,4,10.39,2:21.445
