Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME
2,6.90,6.90,3,7.02,7.02,1,6.79,6.79,4,7.10,7.10
3,9.14,16.04,2,8.87,15.89,1,8.89,15.68,4,8.97,16.07
4,8.79,24.83,2,8.38,24.27,1,8.46,24.14,3,8.52,24.59
4,8.88,33.71,1,8.33,32.60,2,8.54,32.68,3,8.65,33.24
4,8.98,42.681,1,8.67,41.263,2,8.90,41.579,3,8.91,42.146
