DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Mark PRINSEN POSITION,Mark PRINSEN LAP TIME,Mark PRINSEN ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME
2,13.73,13.73,3,13.91,13.91,1,13.59,13.59,4,14.05,
2,10.52,24.25,3,10.43,24.34,1,10.52,24.11,4,10.46,
1,9.53,33.78,3,9.70,34.04,2,9.77,33.88,4,9.61,
2,9.43,43.21,3,9.27,43.31,1,9.21,43.09,4,9.28,
2,9.50,52.71,3,9.49,52.80,1,9.50,52.59,4,9.50,
1,9.06,1:01.77,2,9.05,1:01.85,3,9.38,1:01.97,4,10.15,
2,9.20,1:10.97,1,9.02,1:10.87,3,9.11,1:11.08,4,10.47,
2,8.99,1:19.96,1,8.98,1:19.85,3,9.06,1:20.14,4,9.97,
2,9.04,1:28.975,1,9.08,1:28.917,3,9.25,1:29.379,4,10.16,
