Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME
1,6.98,6.98,2,7.09,7.09,4,7.51,7.51,3,7.18,7.18
1,8.99,15.97,2,8.96,16.05,4,9.11,16.62,3,9.04,16.22
1,8.46,24.43,2,8.53,24.58,4,8.44,25.06,3,8.48,24.70
1,8.72,33.15,2,8.58,33.16,4,19.49,44.55,3,8.59,33.29
2,9.16,42.31,1,8.97,42.13,4,12.56,57.11,3,9.10,42.39
