Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,NEMIRO Vladyslav POSITION,NEMIRO Vladyslav LAP TIME,NEMIRO Vladyslav ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME,ADAMSKI Pawel POSITION,ADAMSKI Pawel LAP TIME,ADAMSKI Pawel ELAPSED TIME
2,10.92,10.92,1,10.57,10.57,4,11.27,11.27,3,11.15,11.15,5,11.56,
3,14.46,25.38,2,14.59,25.16,4,14.29,25.56,5,14.46,25.61,1,13.51,
4,12.78,38.16,3,12.84,38.00,2,12.35,37.91,5,12.69,38.30,1,12.69,
4,11.75,49.91,3,11.76,49.76,2,11.70,49.61,5,11.77,50.07,1,11.72,
4,10.37,1:00.28,2,10.36,1:00.12,2,10.51,1:00.12,5,10.37,1:00.44,1,10.55,
3,9.74,1:10.02,1,9.59,1:09.71,3,9.90,1:10.02,5,9.76,1:10.20,2,9.80,
3,9.92,1:19.94,1,9.96,1:19.67,4,10.06,1:20.08,5,10.00,1:20.20,2,9.93,
3,9.76,1:29.70,1,9.66,1:29.33,4,9.75,1:29.83,5,9.74,1:29.94,2,9.80,
3,9.40,1:39.10,1,9.50,1:38.83,5,9.52,1:39.35,4,9.39,1:39.33,2,9.41,
3,9.32,1:48.42,1,9.36,1:48.19,5,9.31,1:48.66,4,9.14,1:48.47,2,9.35,
3,9.18,1:57.60,1,9.19,1:57.38,5,9.28,1:57.94,2,8.96,1:57.43,4,9.39,
3,9.08,2:06.68,2,8.96,2:06.34,5,9.47,2:07.41,1,8.90,2:06.33,4,9.68,
3,9.29,2:15.97,2,9.09,2:15.43,4,10.25,2:17.66,1,8.95,2:15.28,5,10.43,
3,9.26,2:25.235,0,9.33,2:24.76,4,10.37,2:28.034,0,9.48,2:24.76,5,11.02,
