Felix SPIEGL POSITION,Felix SPIEGL LAP TIME,Felix SPIEGL ELAPSED TIME,Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME,Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME,Kiryl SHLIANAV POSITION,Kiryl SHLIANAV LAP TIME,Kiryl SHLIANAV ELAPSED TIME
1,7.11,7.11,2,7.23,7.23,3,7.36,7.36,4,7.86,7.86
1,9.54,16.65,3,9.70,16.93,2,9.44,16.80,4,10.17,18.03
1,9.03,25.68,3,9.07,26.00,2,9.11,25.91,4,10.00,28.03
1,9.24,34.92,3,9.14,35.14,2,9.06,34.97,4,10.07,38.10
3,9.59,44.502,2,9.34,44.476,1,9.45,44.412,4,10.56,48.655
