Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME
1,6.93,6.93,2,7.08,7.08,3,7.34,7.34,4,7.46,7.46
1,9.06,15.99,2,9.01,16.09,3,9.03,16.37,4,9.05,16.51
2,8.86,24.85,1,8.75,24.84,3,8.69,25.06,4,8.82,25.33
2,8.94,33.79,1,8.85,33.69,3,8.89,33.95,4,8.90,34.23
0,,PEN,1,8.78,42.464,2,8.80,42.749,3,8.76,42.988
