Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME
4,11.20,11.20,2,10.87,10.87,1,10.72,10.72,3,11.01,11.01,5,11.44,11.44
4,14.70,25.90,2,14.72,25.59,1,14.72,25.44,3,14.74,25.75,5,14.69,26.13
4,13.25,39.15,2,13.23,38.82,1,13.23,38.67,3,13.21,38.96,5,13.20,39.33
4,12.78,51.93,1,12.70,51.52,2,12.98,51.65,3,12.77,51.73,5,12.76,52.09
4,13.32,1:05.25,1,13.30,1:04.82,3,13.44,1:05.09,2,13.20,1:04.93,5,13.29,1:05.38
4,12.73,1:17.98,2,13.01,1:17.83,5,12.94,1:18.03,3,12.97,1:17.90,1,12.26,1:17.64
1,10.10,1:28.08,3,10.53,1:28.36,4,10.49,1:28.52,5,10.74,1:28.64,2,10.62,1:28.26
1,10.13,1:38.21,3,10.06,1:38.42,4,10.03,1:38.55,5,10.04,1:38.68,2,10.07,1:38.33
1,9.75,1:47.96,3,9.79,1:48.21,4,9.79,1:48.34,5,9.86,1:48.54,2,9.77,1:48.10
1,9.43,1:57.39,3,9.45,1:57.66,4,9.51,1:57.85,5,9.43,1:57.97,2,9.43,1:57.53
1,9.23,2:06.62,3,9.11,2:06.77,4,9.31,2:07.16,5,9.45,2:07.42,2,9.11,2:06.64
3,9.37,2:15.99,2,8.91,2:15.68,4,9.39,2:16.55,5,9.74,2:17.16,1,8.86,2:15.50
3,9.55,2:25.54,2,9.12,2:24.80,4,9.63,2:26.18,5,10.23,2:27.39,1,9.21,2:24.71
3,9.84,2:35.38,2,9.36,2:34.16,4,10.47,2:36.65,5,10.43,2:37.82,1,9.36,2:34.07
