Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,Petra SULOVSKA POSITION,Petra SULOVSKA LAP TIME,Petra SULOVSKA ELAPSED TIME
3,16.20,16.20,4,16.33,16.33,2,16.10,16.10,1,15.86,15.86
3,11.65,27.85,4,11.65,27.98,2,11.58,27.68,1,11.72,27.58
3,11.42,39.27,4,11.41,39.39,2,11.46,39.14,1,11.45,39.03
3,10.99,50.26,4,10.99,50.38,2,11.01,50.15,1,11.02,50.05
3,10.55,1:00.81,4,10.63,1:01.01,1,10.57,1:00.72,2,10.73,1:00.78
2,10.27,1:11.08,3,10.39,1:11.40,1,10.26,1:10.98,4,11.06,1:11.84
2,10.08,1:21.16,3,10.31,1:21.71,1,10.08,1:21.06,4,11.28,1:23.12
1,9.97,1:31.13,3,10.63,1:32.34,2,10.28,1:31.34,4,11.64,1:34.76
1,10.41,1:41.538,3,10.92,1:43.255,2,10.41,1:41.750,4,11.76,1:46.512
