VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME
3,13.82,13.82,4,13.84,13.84,2,13.81,13.81,1,13.71,13.71,5,14.06,14.06
5,10.57,24.39,1,10.10,23.94,3,10.35,24.16,2,10.34,24.05,4,10.23,24.29
5,10.02,34.41,3,10.21,34.15,2,9.97,34.13,1,9.96,34.01,4,10.01,34.30
4,9.87,44.28,3,10.03,44.18,2,9.95,44.08,1,9.98,43.99,5,10.01,44.31
4,9.75,54.03,3,9.72,53.90,1,9.61,53.69,2,9.83,53.82,5,9.85,54.16
4,9.77,1:03.80,3,9.81,1:03.71,1,9.84,1:03.53,2,9.82,1:03.64,5,9.75,1:03.91
4,9.84,1:13.64,3,9.80,1:13.51,1,9.76,1:13.29,2,9.76,1:13.40,5,9.89,1:13.80
4,9.83,1:23.47,3,9.79,1:23.30,1,9.78,1:23.07,2,9.82,1:23.22,5,9.79,1:23.59
4,10.14,1:33.61,3,10.08,1:33.38,1,9.85,1:32.92,2,9.99,1:33.21,5,10.10,1:33.69
