Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Christoph MILZ POSITION,Christoph MILZ LAP TIME,Christoph MILZ ELAPSED TIME
1,8.56,8.56,2,8.68,8.68,4,8.92,8.92,3,8.80,8.80,5,9.06,9.06,6,9.15,9.15
2,12.39,20.95,3,12.38,21.06,5,12.42,21.34,4,12.39,21.19,6,12.42,21.48,1,11.71,20.86
1,11.01,31.96,3,11.08,32.14,5,11.03,32.37,4,11.06,32.25,6,11.02,32.50,2,11.16,32.02
1,11.16,43.12,3,11.20,43.34,5,11.15,43.52,4,11.18,43.43,6,11.17,43.67,2,11.20,43.22
2,11.00,54.12,4,10.97,54.31,1,10.56,54.08,5,11.01,54.44,6,10.92,54.59,3,11.01,54.23
1,10.13,1:04.25,5,10.26,1:04.57,2,10.17,1:04.25,4,10.00,1:04.44,6,10.02,1:04.61,3,10.13,1:04.36
2,10.07,1:14.32,6,10.14,1:14.71,3,10.14,1:14.39,5,10.16,1:14.60,1,9.66,1:14.27,4,10.15,1:14.51
2,9.90,1:24.22,6,9.94,1:24.65,3,9.92,1:24.31,5,9.95,1:24.55,1,9.89,1:24.16,4,9.91,1:24.42
2,10.07,1:34.29,6,10.00,1:34.65,3,10.11,1:34.42,5,10.00,1:34.55,1,10.03,1:34.19,4,10.10,1:34.52
2,9.55,1:43.84,5,9.29,1:43.94,4,9.50,1:43.92,3,9.30,1:43.85,1,9.57,1:43.76,6,9.81,1:44.33
3,9.01,1:52.85,4,9.01,1:52.95,5,9.23,1:53.15,1,8.62,1:52.47,2,9.02,1:52.78,6,9.54,1:53.87
2,8.55,2:01.40,4,8.73,2:01.68,5,9.16,2:02.31,1,8.77,2:01.24,3,8.76,2:01.54,6,9.68,2:03.55
1,8.65,2:10.05,4,8.89,2:10.57,5,9.37,2:11.68,2,8.94,2:10.18,3,8.80,2:10.34,6,10.09,2:13.64
1,8.94,2:18.988,4,9.26,2:19.830,5,9.98,2:21.651,3,9.51,2:19.682,2,9.21,2:19.547,6,10.72,2:24.360
