PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME
2,7.36,7.36,1,7.16,7.16,3,7.55,7.55,4,7.74,7.74
1,9.43,16.79,2,9.66,16.82,3,9.44,16.99,4,9.79,17.53
1,9.09,25.88,2,9.16,25.98,3,9.12,26.11,4,9.37,26.90
1,9.28,35.16,2,9.26,35.24,3,9.27,35.38,4,9.62,36.52
1,9.45,44.604,2,9.56,44.799,3,9.52,44.899,4,9.66,46.179
